id,name,n,avg_len,dis,z,p
51087,chaperone binding,273,605.4468864468864,0.8388278388278388,8.742087093094646,1.0
44389,ubiquitin-like protein ligase binding,854,559.1440281030445,0.7576112412177985,8.646107144134419,1.0
1104,RNA polymerase II transcription cofactor activity,337,685.3086053412463,0.857566765578635,8.630533334274055,1.0
3707,steroid hormone receptor activity,207,528.9130434782609,0.9227053140096618,8.499988111647015,1.0
17048,Rho GTPase binding,372,1054.2983870967741,0.9408602150537635,8.42403759914356,1.0
4879,nuclear receptor activity,179,565.2793296089385,0.9497206703910615,8.36236601994306,1.0
98531,"transcription factor activity, direct ligand regulated sequence-specific DNA binding",181,565.2044198895028,0.9502762430939227,8.347256654141491,1.0
5096,GTPase activator activity,633,820.6034755134281,0.8672985781990521,8.277059917847355,1.0
140034,methylation-dependent protein binding,142,729.9929577464789,0.971830985915493,8.227225875262311,1.0
70888,E-box binding,104,506.0,0.9807692307692307,8.20835031017525,1.0
35064,methylated histone binding,142,729.9929577464789,0.971830985915493,8.19669644947807,1.0
45296,cadherin binding,672,764.1041666666666,0.8214285714285714,8.184630108263006,1.0
19902,phosphatase binding,438,746.5525114155251,0.867579908675799,8.18363746417869,1.0
36002,pre-mRNA binding,101,522.2178217821782,0.9801980198019802,8.180616195965486,1.0
8013,beta-catenin binding,216,860.0231481481482,0.9722222222222222,8.090961295229702,1.0
31625,ubiquitin protein ligase binding,821,556.4920828258222,0.7478684531059683,8.07516578476573,1.0
61659,ubiquitin-like protein ligase activity,627,616.0940988835725,0.773524720893142,8.066586294950643,1.0
51020,GTPase binding,1347,866.5887156644395,0.8277654046028211,8.063594240111835,1.0
30695,GTPase regulator activity,695,798.158273381295,0.8489208633093526,7.874053819282339,1.0
51219,phosphoprotein binding,243,628.4650205761317,0.8888888888888888,7.865273575836627,1.0
31072,heat shock protein binding,329,596.7021276595744,0.8267477203647416,7.839618280590838,1.0
31492,nucleosomal DNA binding,73,300.35616438356163,0.8904109589041096,7.72391559693633,1.0
1102,RNA polymerase II activating transcription factor binding,126,614.6190476190476,0.9365079365079365,7.662545754897778,1.0
19208,phosphatase regulator activity,250,498.236,0.82,7.624658581163655,1.0
8301,"DNA binding, bending",81,384.14814814814815,0.9382716049382716,7.616467662736955,1.0
35091,phosphatidylinositol binding,626,736.1741214057508,0.8178913738019169,7.5408193970897095,1.0
3727,single-stranded RNA binding,304,548.0493421052631,0.819078947368421,7.496339241711059,1.0
1105,RNA polymerase II transcription coactivator activity,133,808.5037593984962,0.9548872180451128,7.451755660271088,1.0
3779,actin binding,1228,1000.4706840390879,0.8029315960912052,7.443388699628215,1.0
19787,ubiquitin-like protein transferase activity,1080,623.7657407407407,0.7324074074074074,7.359744821333364,1.0
30276,clathrin binding,180,701.3444444444444,0.9222222222222223,7.35406268043791,1.0
61630,ubiquitin protein ligase activity,587,610.488926746167,0.7597955706984668,7.348015639202054,1.0
4842,ubiquitin-protein transferase activity,978,632.6779141104295,0.7361963190184049,7.180011568959816,1.0
8270,zinc ion binding,2697,636.1757508342603,0.7044864664441972,7.124177304788403,1.0
70491,repressing transcription factor binding,187,567.7326203208556,0.8877005347593583,7.112620681313215,1.0
1205,"transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding",80,537.0875,0.9875,7.058082048487284,1.0
3680,AT DNA binding,42,434.5,1.0,6.93391970782787,1.0
51018,protein kinase A binding,125,937.144,0.952,6.8919315829210275,1.0
71855,neuropeptide receptor binding,110,252.0818181818182,0.7272727272727273,6.884870216122551,1.0
19888,protein phosphatase regulator activity,218,458.48623853211006,0.8027522935779816,6.8845848954306375,1.0
17025,TBP-class protein binding,128,598.734375,0.8984375,6.861646992941181,1.0
32182,ubiquitin-like protein binding,262,608.5152671755725,0.8244274809160306,6.802315634956374,1.0
31593,polyubiquitin modification-dependent protein binding,112,601.0178571428571,0.9464285714285714,6.7978607039871815,1.0
19209,kinase activator activity,234,495.71794871794873,0.7649572649572649,6.7490119317809025,1.0
19903,protein phosphatase binding,344,722.3720930232558,0.8517441860465116,6.654004915323865,1.0
1990782,protein tyrosine kinase binding,180,653.7277777777778,0.9,6.637292319346642,1.0
1191,"transcriptional repressor activity, RNA polymerase II transcription factor binding",113,688.4247787610619,0.9380530973451328,6.5747370329934505,1.0
1134,"transcription factor activity, transcription factor recruiting",127,463.4803149606299,0.8661417322834646,6.57406866244825,1.0
3697,single-stranded DNA binding,431,544.3039443155452,0.7494199535962877,6.555238894076342,1.0
30295,protein kinase activator activity,221,489.75113122171945,0.7737556561085973,6.547404638650486,1.0
31267,small GTPase binding,1094,886.2193784277879,0.8336380255941499,6.540069571304979,1.0
60090,molecular adaptor activity,494,651.3238866396761,0.7894736842105263,6.506748267884164,1.0
30674,"protein binding, bridging",438,630.933789954338,0.7876712328767124,6.505208060641387,1.0
43425,bHLH transcription factor binding,89,491.17977528089887,0.9101123595505618,6.4790247934155625,1.0
30291,protein serine/threonine kinase inhibitor activity,102,385.48039215686276,0.8137254901960784,6.4662047072745805,1.0
16538,cyclin-dependent protein serine/threonine kinase regulator activity,142,357.6478873239437,0.7746478873239436,6.434196211437883,1.0
5543,phospholipid binding,1087,700.1011959521619,0.7516099356025759,6.417445966424528,1.0
19905,syntaxin binding,239,601.0585774058577,0.8242677824267782,6.391177460554058,1.0
1990841,promoter-specific chromatin binding,98,767.8673469387755,0.9795918367346939,6.3621277705965635,1.0
17016,Ras GTPase binding,1054,889.741935483871,0.8320683111954459,6.347309688408675,1.0
35258,steroid hormone receptor binding,206,787.4417475728155,0.8883495145631068,6.197427464000813,1.0
5085,guanyl-nucleotide exchange factor activity,575,990.5460869565218,0.8573913043478261,6.1664437473952,1.0
5249,voltage-gated potassium channel activity,240,641.0458333333333,0.8708333333333333,6.156817716553069,1.0
42162,telomeric DNA binding,145,682.9172413793103,0.896551724137931,6.152389256274488,1.0
43130,ubiquitin binding,222,552.4099099099099,0.8063063063063063,6.126742929513893,1.0
19212,phosphatase inhibitor activity,97,431.50515463917526,0.8350515463917526,6.11958813867264,1.0
22843,voltage-gated cation channel activity,382,844.2486910994764,0.856020942408377,6.099178745131823,1.0
4713,protein tyrosine kinase activity,504,933.0178571428571,0.8611111111111112,6.081393378476638,1.0
47485,protein N-terminus binding,282,672.0780141843971,0.7978723404255319,6.080975816674175,1.0
8187,poly-pyrimidine tract binding,98,473.4591836734694,0.8979591836734694,6.072221550464183,1.0
5520,insulin-like growth factor binding,69,588.8550724637681,0.927536231884058,6.008689093873011,1.0
8201,heparin binding,403,652.7593052109181,0.7568238213399504,6.007142118309111,1.0
5184,neuropeptide hormone activity,117,158.64102564102564,0.6495726495726496,5.997541392942056,1.0
71837,HMG box domain binding,51,459.84313725490193,0.9803921568627451,5.996995504245534,1.0
4857,enzyme inhibitor activity,1059,462.6591123701605,0.6279508970727101,5.977325059782493,1.0
5160,transforming growth factor beta receptor binding,141,481.34751773049646,0.8368794326241135,5.757789786804779,1.0
50699,WW domain binding,62,718.4516129032259,0.9838709677419355,5.746496579680721,1.0
45309,protein phosphorylated amino acid binding,136,594.3970588235294,0.8897058823529411,5.737236708988391,1.0
4864,protein phosphatase inhibitor activity,89,425.8314606741573,0.8314606741573034,5.732571141183179,1.0
4712,protein serine/threonine/tyrosine kinase activity,163,612.2269938650306,0.8650306748466258,5.707038896762079,1.0
30971,receptor tyrosine kinase binding,143,652.2587412587412,0.8881118881118881,5.695720728954296,1.0
30544,Hsp70 protein binding,121,466.24793388429754,0.8099173553719008,5.651258662736186,1.0
3777,microtubule motor activity,225,1394.7777777777778,0.9688888888888889,5.644417162916165,1.0
8266,poly(U) RNA binding,80,466.075,0.875,5.581180987141418,1.0
4862,cAMP-dependent protein kinase inhibitor activity,26,352.4230769230769,1.0,5.554494178040403,1.0
1221,transcription cofactor binding,105,645.6952380952381,0.8952380952380953,5.550422937563879,1.0
8022,protein C-terminus binding,520,745.15,0.7769230769230769,5.522397861832616,1.0
51082,unfolded protein binding,493,477.20892494929006,0.7139959432048681,5.475324376937146,1.0
35035,histone acetyltransferase binding,83,560.3012048192771,0.9156626506024096,5.440327918963409,1.0
5031,tumor necrosis factor-activated receptor activity,49,373.38775510204084,0.9183673469387755,5.417770040017061,1.0
2039,p53 binding,169,808.5976331360947,0.863905325443787,5.407144810879534,1.0
5080,protein kinase C binding,130,686.2076923076924,0.8692307692307693,5.378135936945046,1.0
5035,death receptor activity,49,373.38775510204084,0.9183673469387755,5.374872458892092,1.0
35591,signaling adaptor activity,159,619.5974842767296,0.8490566037735849,5.3272962867497355,1.0
51721,protein phosphatase 2A binding,83,622.9759036144578,0.9036144578313253,5.3188613746806555,1.0
70412,R-SMAD binding,58,588.9137931034483,0.9482758620689655,5.3050291569983745,1.0
35254,glutamate receptor binding,130,725.4307692307692,0.9,5.28179503226293,1.0
97110,scaffold protein binding,166,916.5903614457832,0.891566265060241,5.253322351716509,1.0
983,"transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding",39,472.46153846153845,1.0,5.2465820351985455,1.0
1901981,phosphatidylinositol phosphate binding,412,669.3131067961165,0.7961165048543689,5.183158472516036,1.0
1135,"transcription factor activity, RNA polymerase II transcription factor recruiting",96,449.1458333333333,0.8229166666666666,5.151898326733775,1.0
98782,mechanosensitived potassium channel activity,289,639.6678200692041,0.8339100346020761,5.135054302429196,1.0
5199,structural constituent of cell wall,33,377.72727272727275,0.9696969696969697,5.091852354930697,1.0
31995,insulin-like growth factor II binding,28,553.75,1.0,5.087298673950685,1.0
70717,poly-purine tract binding,86,520.3604651162791,0.8953488372093024,5.085212888319707,1.0
55106,ubiquitin-protein transferase regulator activity,66,366.9848484848485,0.8333333333333334,5.066285781155832,1.0
1106,RNA polymerase II transcription corepressor activity,69,656.9420289855072,0.9420289855072463,5.06425703760879,1.0
4683,calmodulin-dependent protein kinase activity,137,581.6934306569343,0.8613138686131386,5.0357778810100395,1.0
5172,vascular endothelial growth factor receptor binding,36,426.6666666666667,0.9444444444444444,5.023813384775957,1.0
48487,beta-tubulin binding,101,595.0891089108911,0.8316831683168316,5.0094941913994075,1.0
46332,SMAD binding,193,699.7564766839379,0.8497409326424871,4.9726682959919355,1.0
4935,adrenergic receptor activity,40,467.3,1.0,4.950142106334629,1.0
5539,glycosaminoglycan binding,539,664.9944341372913,0.7217068645640075,4.934379341830118,1.0
3691,double-stranded telomeric DNA binding,40,622.325,1.0,4.850885459192015,1.0
5070,SH3/SH2 adaptor activity,94,505.13829787234044,0.8297872340425532,4.848876169237798,1.0
5267,potassium channel activity,339,612.3893805309734,0.7935103244837758,4.833207765315378,1.0
4407,histone deacetylase activity,111,566.5315315315315,0.8378378378378378,4.768229278340031,1.0
60590,ATPase regulator activity,138,439.6231884057971,0.7318840579710145,4.764555045093218,1.0
43522,leucine zipper domain binding,27,504.25925925925924,1.0,4.755827172921088,1.0
35497,cAMP response element binding,32,490.21875,1.0,4.711588322620213,1.0
5109,frizzled binding,115,462.6695652173913,0.7739130434782608,4.700771665113677,1.0
30371,translation repressor activity,85,504.61176470588236,0.8470588235294118,4.699779805085287,1.0
1223,transcription coactivator binding,57,594.7017543859649,0.9473684210526315,4.687797375602949,1.0
1099,basal RNA polymerase II transcription machinery binding,140,651.9642857142857,0.85,4.676224328173556,1.0
35925,mRNA 3'-UTR AU-rich region binding,39,502.94871794871796,0.9487179487179487,4.672902032338065,1.0
97100,supercoiled DNA binding,24,353.5833333333333,1.0,4.66473908977534,1.0
1098,basal transcription machinery binding,145,637.2689655172413,0.8344827586206897,4.658369183352204,1.0
51059,NF-kappaB binding,74,495.81081081081084,0.8378378378378378,4.6522490574381,1.0
1784,phosphotyrosine residue binding,95,609.0842105263158,0.8842105263157894,4.626705146619307,1.0
17049,GTP-Rho binding,36,689.3333333333334,1.0,4.625139951802244,1.0
70063,RNA polymerase binding,165,662.3212121212122,0.8242424242424242,4.586834500556878,1.0
70273,phosphatidylinositol-4-phosphate binding,66,575.7121212121212,0.8939393939393939,4.584370913688293,1.0
35256,G-protein coupled glutamate receptor binding,27,423.4074074074074,1.0,4.5805625122072895,1.0
45182,translation regulator activity,162,567.320987654321,0.8024691358024691,4.5651882033388,1.0
5158,insulin receptor binding,90,603.3222222222222,0.8444444444444444,4.546288595276293,1.0
1103,RNA polymerase II repressing transcription factor binding,85,574.635294117647,0.8705882352941177,4.542983911020238,1.0
5088,Ras guanyl-nucleotide exchange factor activity,382,1035.282722513089,0.8664921465968587,4.536260162297666,1.0
34236,protein kinase A catalytic subunit binding,45,767.1777777777778,0.9333333333333333,4.520662136674409,1.0
97027,ubiquitin-protein transferase activator activity,33,452.06060606060606,0.9696969696969697,4.512967694251868,1.0
5089,Rho guanyl-nucleotide exchange factor activity,151,1339.708609271523,0.9801324503311258,4.471930219165438,1.0
8289,lipid binding,1977,615.9570055639858,0.6762771876580678,4.45320447742095,1.0
46966,thyroid hormone receptor binding,65,980.3846153846154,0.9538461538461539,4.452729569688262,1.0
8143,poly(A) binding,65,490.2,0.8923076923076924,4.446699593788579,1.0
17069,snRNA binding,106,477.92452830188677,0.7735849056603774,4.431890645831296,1.0
31994,insulin-like growth factor I binding,32,559.5625,0.96875,4.412443929937551,1.0
18024,histone-lysine N-methyltransferase activity,143,1172.1748251748252,0.916083916083916,4.4063990757502465,1.0
31369,translation initiation factor binding,117,537.8888888888889,0.7948717948717948,4.400608437412613,1.0
30296,protein tyrosine kinase activator activity,44,554.3863636363636,0.8863636363636364,4.375853500766461,1.0
33612,receptor serine/threonine kinase binding,81,464.5432098765432,0.8024691358024691,4.362353656675666,1.0
8227,G-protein coupled amine receptor activity,141,453.0921985815603,0.7588652482269503,4.341281843582263,1.0
42803,protein homodimerization activity,2470,563.3906882591093,0.6534412955465587,4.310940951885658,1.0
5261,cation channel activity,875,877.7657142857142,0.7851428571428571,4.305940291658359,1.0
70742,C2H2 zinc finger domain binding,32,590.1875,0.96875,4.279277327001669,1.0
45504,dynein heavy chain binding,36,530.4722222222222,0.9722222222222222,4.267818839581994,1.0
19838,growth factor binding,351,737.8461538461538,0.7948717948717948,4.264530703789473,1.0
70840,dynein complex binding,69,893.463768115942,0.9420289855072463,4.264397192963779,1.0
44213,intronic transcription regulatory region DNA binding,28,614.7142857142857,1.0,4.240383606376596,1.0
30552,cAMP binding,109,688.045871559633,0.8807339449541285,4.238850301608554,1.0
36402,proteasome-activating ATPase activity,47,423.1489361702128,0.8936170212765957,4.236049346245851,1.0
43184,vascular endothelial growth factor receptor 2 binding,20,445.2,1.0,4.222481462275009,1.0
30515,snoRNA binding,126,557.936507936508,0.7777777777777778,4.221990335275434,1.0
1904264,ubiquitin protein ligase activity involved in ERAD pathway,32,569.0,0.96875,4.192218850206605,1.0
3684,damaged DNA binding,284,680.8028169014085,0.795774647887324,4.161721169025127,1.0
3708,retinoic acid receptor activity,26,466.3076923076923,1.0,4.1598140622138455,1.0
34513,box H/ACA snoRNA binding,29,287.6551724137931,0.8275862068965517,4.143983314546801,1.0
4865,protein serine/threonine phosphatase inhibitor activity,21,201.1904761904762,0.8571428571428571,4.139648206087886,1.0
99528,G-protein coupled neurotransmitter receptor activity,105,510.1714285714286,0.8095238095238095,4.1339041809733565,1.0
991,"transcription factor activity, core RNA polymerase II binding",50,599.46,0.88,4.104541108013813,1.0
5159,insulin-like growth factor receptor binding,62,484.11290322580646,0.8225806451612904,4.102331498318543,1.0
48156,tau protein binding,35,509.42857142857144,0.9142857142857143,4.094368798637172,1.0
5057,"signal transducer activity, downstream of receptor",380,674.4394736842105,0.781578947368421,4.0815768136810995,1.0
31434,mitogen-activated protein kinase kinase binding,48,725.8541666666666,0.9583333333333334,4.067434212456159,1.0
48365,Rac GTPase binding,151,939.9271523178808,0.9006622516556292,4.063096055383867,1.0
10385,double-stranded methylated DNA binding,29,503.3103448275862,0.9655172413793104,4.060644719038085,1.0
98847,sequence-specific single stranded DNA binding,60,564.75,0.8666666666666667,4.047359859045294,1.0
4887,thyroid hormone receptor activity,28,567.2857142857143,1.0,4.033041821992353,1.0
8603,cAMP-dependent protein kinase regulator activity,25,423.12,0.96,4.029280908131965,1.0
17075,syntaxin-1 binding,61,705.327868852459,0.8852459016393442,4.024210085677865,1.0
990,"transcription factor activity, core RNA polymerase binding",107,503.76635514018693,0.7663551401869159,4.003534981908832,1.0
140135,mechanosensitive cation channel activity,642,857.291277258567,0.794392523364486,3.9884536563707056,1.0
43422,protein kinase B binding,34,545.1470588235294,0.9117647058823529,3.9675354812146195,1.0
70034,telomerase RNA binding,54,714.9814814814815,0.8888888888888888,3.966812949663678,1.0
70410,co-SMAD binding,27,710.0,1.0,3.946942311260755,1.0
70300,phosphatidic acid binding,61,698.9672131147541,0.9016393442622951,3.9408649349366836,1.0
70851,growth factor receptor binding,375,441.056,0.6613333333333333,3.93396134010893,1.0
4708,MAP kinase kinase activity,59,520.8644067796611,0.8305084745762712,3.9190765612201157,1.0
1161,intronic transcription regulatory region sequence-specific DNA binding,27,619.2592592592592,1.0,3.910861850449715,1.0
19869,chloride channel inhibitor activity,25,827.64,0.96,3.9079159173446794,1.0
70530,K63-linked polyubiquitin modification-dependent protein binding,39,703.7692307692307,1.0,3.888969709348985,1.0
1903136,cuprous ion binding,24,387.0,0.875,3.878520391036581,1.0
8309,double-stranded DNA exodeoxyribonuclease activity,24,512.0416666666666,1.0,3.8629152751550127,1.0
42805,actinin binding,99,1876.3232323232323,0.9393939393939394,3.8449760693270525,1.0
32947,protein complex scaffold activity,208,882.6057692307693,0.8269230769230769,3.812316413928768,1.0
4936,alpha-adrenergic receptor activity,24,471.7916666666667,1.0,3.8080921201102402,1.0
33558,protein deacetylase activity,122,562.0081967213115,0.7868852459016393,3.807038134118368,1.0
36122,BMP binding,26,437.7692307692308,0.9230769230769231,3.8038617025774926,1.0
42134,rRNA primary transcript binding,22,521.3181818181819,0.9545454545454546,3.797425028234324,1.0
32183,SUMO binding,37,972.1351351351351,1.0,3.7958819583537213,1.0
10997,anaphase-promoting complex binding,29,517.0689655172414,0.9655172413793104,3.791187643062978,1.0
5072,"transforming growth factor beta receptor, cytoplasmic mediator activity",22,470.6363636363636,1.0,3.7791668484699934,1.0
48306,calcium-dependent protein binding,168,480.5595238095238,0.7023809523809523,3.76025794866872,1.0
48027,mRNA 5'-UTR binding,75,406.6,0.76,3.758088011798618,1.0
46965,retinoid X receptor binding,49,745.6122448979592,0.8979591836734694,3.7448439960420488,1.0
17081,chloride channel regulator activity,42,692.1190476190476,0.8809523809523809,3.744247523942947,1.0
32452,histone demethylase activity,85,1072.6117647058823,0.9882352941176471,3.7303892494310333,1.0
42813,Wnt-activated receptor activity,61,693.8852459016393,0.9016393442622951,3.7219071563682222,1.0
30275,LRR domain binding,45,590.7555555555556,0.8666666666666667,3.6973851129379187,1.0
30331,estrogen receptor binding,97,765.2680412371134,0.865979381443299,3.6914462975540583,1.0
36459,thiol-dependent ubiquitinyl hydrolase activity,229,907.9039301310044,0.8209606986899564,3.686368078935475,1.0
42809,vitamin D receptor binding,24,782.875,1.0,3.6816415396758084,1.0
43021,ribonucleoprotein complex binding,406,520.8152709359606,0.6773399014778325,3.68056228511699,1.0
4709,MAP kinase kinase kinase activity,77,894.3246753246754,0.974025974025974,3.677890426907209,1.0
16922,ligand-dependent nuclear receptor binding,57,928.0175438596491,0.9122807017543859,3.6450151459073137,1.0
31005,filamin binding,37,663.972972972973,0.9459459459459459,3.639106907937651,1.0
8307,structural constituent of muscle,104,2083.798076923077,0.8557692307692307,3.625945280867056,1.0
43047,single-stranded telomeric DNA binding,56,573.5535714285714,0.8571428571428571,3.623790297051582,1.0
1990939,ATP-dependent microtubule motor activity,102,1753.137254901961,0.9901960784313726,3.606080322815387,1.0
4861,cyclin-dependent protein serine/threonine kinase inhibitor activity,43,290.0,0.7441860465116279,3.6051418252852554,1.0
34237,protein kinase A regulatory subunit binding,46,1099.8695652173913,0.9347826086956522,3.60121769933742,1.0
43175,RNA polymerase core enzyme binding,119,646.8319327731092,0.8319327731092437,3.5989362779920517,1.0
50681,androgen receptor binding,80,813.15,0.9,3.591648306810186,1.0
101005,ubiquitinyl hydrolase activity,233,902.8068669527897,0.8197424892703863,3.5847785058333415,1.0
1162,RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding,20,647.1,1.0,3.5815857548917225,1.0
43274,phospholipase binding,44,585.5909090909091,0.8863636363636364,3.560425177547009,1.0
1091,RNA polymerase II basal transcription factor binding,53,685.8301886792453,0.9056603773584906,3.5584397015677633,1.0
42054,histone methyltransferase activity,201,973.1094527363184,0.835820895522388,3.5478667893431886,1.0
5262,calcium channel activity,327,1205.125382262997,0.8593272171253823,3.5220838919897823,0.999
17137,Rab GTPase binding,367,793.9918256130791,0.8147138964577657,3.5010938571990033,1.0
5123,death receptor binding,41,490.0243902439024,0.8292682926829268,3.4972794794353432,1.0
30159,receptor signaling complex scaffold activity,56,1002.4821428571429,0.9464285714285714,3.4922700584120947,1.0
97157,pre-mRNA intronic binding,20,934.6,1.0,3.4916115178936904,1.0
