,index,status,kw,go,score,n_kwgo,n_kw,n_go,R,kw_name,go_name,kw_def,go_def
17,96,,KW-0348,GO:0030246,0.07,45,397,335,3,Hemagglutinin,carbohydrate binding," Protein which causes agglutination of erythrocytes or other cell types: In viruses, a protein which is responsible for attaching the virus to cell receptors and for initiating infection","Interacting selectively and non-covalently with any carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates."
18,97,,KW-0348,GO:0001681,0.06,22,397,22,4,Hemagglutinin,sialate O-acetylesterase activity," Protein which causes agglutination of erythrocytes or other cell types: In viruses, a protein which is responsible for attaching the virus to cell receptors and for initiating infection",Catalysis of the reaction: N-acetyl-O-acetylneuraminate (free or glycosidically bound) + H2O = N-acetylneuraminate + acetate.
19,98,,KW-0348,GO:0005537,0.03,14,397,41,5,Hemagglutinin,mannose binding," Protein which causes agglutination of erythrocytes or other cell types: In viruses, a protein which is responsible for attaching the virus to cell receptors and for initiating infection","Interacting selectively and non-covalently with mannose, a monosaccharide hexose, stereoisomeric with glucose, that occurs naturally only in polymerized forms called mannans."
20,124,,KW-0515,GO:0003684,0.75,232,255,288,1,Mutator protein,damaged DNA binding," Protein which is encoded by a mutator gene (mutator). Generally, these are genes within which certain mutations cause an increase in frequency of spontaneous mutations in other genes. Mutator proteins are therefore thought to be responsible for inaccurate DNA replication",Interacting selectively and non-covalently with damaged DNA.
21,125,,KW-0515,GO:0003887,0.47,153,255,227,2,Mutator protein,DNA-directed DNA polymerase activity," Protein which is encoded by a mutator gene (mutator). Generally, these are genes within which certain mutations cause an increase in frequency of spontaneous mutations in other genes. Mutator proteins are therefore thought to be responsible for inaccurate DNA replication",Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); the synthesis of DNA from deoxyribonucleotide triphosphates in the presence of a DNA template and a 3'hydroxyl group.
22,126,,KW-0515,GO:0046872,0.03,167,255,5010,3,Mutator protein,metal ion binding," Protein which is encoded by a mutator gene (mutator). Generally, these are genes within which certain mutations cause an increase in frequency of spontaneous mutations in other genes. Mutator proteins are therefore thought to be responsible for inaccurate DNA replication",Interacting selectively and non-covalently with any metal ion.
23,127,,KW-0515,GO:0016787,0.03,9,255,110,4,Mutator protein,hydrolase activity," Protein which is encoded by a mutator gene (mutator). Generally, these are genes within which certain mutations cause an increase in frequency of spontaneous mutations in other genes. Mutator proteins are therefore thought to be responsible for inaccurate DNA replication","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."
24,128,,KW-0515,GO:0008413,0.02,5,255,5,5,Mutator protein,"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity"," Protein which is encoded by a mutator gene (mutator). Generally, these are genes within which certain mutations cause an increase in frequency of spontaneous mutations in other genes. Mutator proteins are therefore thought to be responsible for inaccurate DNA replication","Catalysis of the reaction: 8-oxo-7,8-dihydroguanosine triphosphate = 8-oxo-7,8-dihydroguanosine phosphate + diphosphate. 8-oxo-7,8-dihydroguanosine triphosphate (8-oxo-GTP) is the oxidised form of the free guanine nucleotide and can act as a potent mutagenic substrate for transcription."
25,377,,KW-0047,GO:0050825,0.7,7,10,7,1,Antifreeze protein,ice binding, Protein that lowers the freezing point of blood or other biological fluids by inhibiting the formation of water ice crystals,"Interacting selectively and non-covalently with ice, water reduced to the solid state by cold temperature. It is a white or transparent colorless substance, crystalline, brittle, and viscoidal."
26,378,,KW-0047,GO:0030246,0.01,2,10,335,2,Antifreeze protein,carbohydrate binding, Protein that lowers the freezing point of blood or other biological fluids by inhibiting the formation of water ice crystals,"Interacting selectively and non-covalently with any carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates."
27,252,,KW-0437,GO:0042314,0.68,61,90,61,1,Light-harvesting polypeptide,bacteriochlorophyll binding," Proteins which form part of the antenna complex, a light-harvesting system found in photosynthetic bacteria which absorb light radiation and transfer the excitation energy to the reaction centres","Interacting selectively and non-covalently with bacteriochlorophyll, a form of chlorophyll found in photosynthetic bacteria, such as the purple and green bacteria. There are several types, designated a to g. Bacteriochlorophyll a and bacteriochlorophyll b are structurally similar to the chlorophyll a and chlorophyll b found in plants."
28,253,,KW-0437,GO:0045156,0.63,57,90,57,2,Light-harvesting polypeptide,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity"," Proteins which form part of the antenna complex, a light-harvesting system found in photosynthetic bacteria which absorb light radiation and transfer the excitation energy to the reaction centres",Enables the directed movement of electrons within the cyclic electron transport pathway of photosynthesis.
29,254,,KW-0437,GO:0016168,0.21,19,90,19,3,Light-harvesting polypeptide,chlorophyll binding," Proteins which form part of the antenna complex, a light-harvesting system found in photosynthetic bacteria which absorb light radiation and transfer the excitation energy to the reaction centres",Interacting selectively and non-covalently with chlorophyll; any compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment.
30,255,,KW-0437,GO:0046872,0.01,68,90,5010,4,Light-harvesting polypeptide,metal ion binding," Proteins which form part of the antenna complex, a light-harvesting system found in photosynthetic bacteria which absorb light radiation and transfer the excitation energy to the reaction centres",Interacting selectively and non-covalently with any metal ion.
31,148,,KW-0195,GO:0016538,0.61,122,197,124,1,Cyclin,cyclin-dependent protein serine/threonine kinase regulator activity," Protein that belongs to the cyclin family or that contains a cyclin box-like domain. Cyclins are regulatory subunits of the cyclin- dependent protein kinases. They form kinase holoenzymes, with distinct biochemical characteristics and nonredundant biological functions, which mediate phosphorylation of cellular proteins, including key cell cycle regulatory molecules. In this way, the kinase holoenzymes promote the transit of cells through the division cycle. Cyclins accumulate during interphase of eukaryotic cell cycle and are destroyed at the end of mitosis","Modulates the activity of a cyclin-dependent protein serine/threonine kinase, enzymes of the protein kinase family that are regulated through association with cyclins and other proteins."
32,149,,KW-0195,GO:0019901,0.12,61,197,376,2,Cyclin,protein kinase binding," Protein that belongs to the cyclin family or that contains a cyclin box-like domain. Cyclins are regulatory subunits of the cyclin- dependent protein kinases. They form kinase holoenzymes, with distinct biochemical characteristics and nonredundant biological functions, which mediate phosphorylation of cellular proteins, including key cell cycle regulatory molecules. In this way, the kinase holoenzymes promote the transit of cells through the division cycle. Cyclins accumulate during interphase of eukaryotic cell cycle and are destroyed at the end of mitosis","Interacting selectively and non-covalently with a protein kinase, any enzyme that catalyzes the transfer of a phosphate group, usually from ATP, to a protein substrate."
33,150,,KW-0195,GO:0016301,0.04,9,197,62,3,Cyclin,kinase activity," Protein that belongs to the cyclin family or that contains a cyclin box-like domain. Cyclins are regulatory subunits of the cyclin- dependent protein kinases. They form kinase holoenzymes, with distinct biochemical characteristics and nonredundant biological functions, which mediate phosphorylation of cellular proteins, including key cell cycle regulatory molecules. In this way, the kinase holoenzymes promote the transit of cells through the division cycle. Cyclins accumulate during interphase of eukaryotic cell cycle and are destroyed at the end of mitosis","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
34,151,,KW-0195,GO:0061575,0.04,7,197,7,4,Cyclin,cyclin-dependent protein serine/threonine kinase activator activity," Protein that belongs to the cyclin family or that contains a cyclin box-like domain. Cyclins are regulatory subunits of the cyclin- dependent protein kinases. They form kinase holoenzymes, with distinct biochemical characteristics and nonredundant biological functions, which mediate phosphorylation of cellular proteins, including key cell cycle regulatory molecules. In this way, the kinase holoenzymes promote the transit of cells through the division cycle. Cyclins accumulate during interphase of eukaryotic cell cycle and are destroyed at the end of mitosis",Binds to and increases the activity of a cyclin-dependent protein serine/threonine kinase.
35,152,,KW-0195,GO:0004693,0.03,6,197,47,5,Cyclin,cyclin-dependent protein serine/threonine kinase activity," Protein that belongs to the cyclin family or that contains a cyclin box-like domain. Cyclins are regulatory subunits of the cyclin- dependent protein kinases. They form kinase holoenzymes, with distinct biochemical characteristics and nonredundant biological functions, which mediate phosphorylation of cellular proteins, including key cell cycle regulatory molecules. In this way, the kinase holoenzymes promote the transit of cells through the division cycle. Cyclins accumulate during interphase of eukaryotic cell cycle and are destroyed at the end of mitosis","Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate. This reaction requires the binding of a regulatory cyclin subunit and full activity requires stimulatory phosphorylation by a CDK-activating kinase (CAK)."
36,283,,KW-0211,GO:0031731,0.55,31,55,32,1,Defensin,CCR6 chemokine receptor binding," Families of microbicidal and cytotoxic peptides. Defensins have antibacterial, antifungal and antiviral properties. Defensins kills cells by forming voltage-regulated multimeric channels in the susceptible cell's membrane",Interacting selectively and non-covalently with a CCR6 chemokine receptor.
37,284,,KW-0211,GO:0042056,0.08,7,55,40,2,Defensin,chemoattractant activity," Families of microbicidal and cytotoxic peptides. Defensins have antibacterial, antifungal and antiviral properties. Defensins kills cells by forming voltage-regulated multimeric channels in the susceptible cell's membrane",Providing the environmental signal that initiates the directed movement of a motile cell or organism towards a higher concentration of that signal.
38,285,,KW-0211,GO:0031727,0.04,2,55,4,3,Defensin,CCR2 chemokine receptor binding," Families of microbicidal and cytotoxic peptides. Defensins have antibacterial, antifungal and antiviral properties. Defensins kills cells by forming voltage-regulated multimeric channels in the susceptible cell's membrane",Interacting selectively and non-covalently with a CCR2 chemokine receptor.
39,286,,KW-0211,GO:0001530,0.04,4,55,57,4,Defensin,lipopolysaccharide binding," Families of microbicidal and cytotoxic peptides. Defensins have antibacterial, antifungal and antiviral properties. Defensins kills cells by forming voltage-regulated multimeric channels in the susceptible cell's membrane",Interacting selectively and non-covalently with lipopolysaccharide.
40,287,,KW-0211,GO:0042802,0.03,24,55,858,5,Defensin,identical protein binding," Families of microbicidal and cytotoxic peptides. Defensins have antibacterial, antifungal and antiviral properties. Defensins kills cells by forming voltage-regulated multimeric channels in the susceptible cell's membrane",Interacting selectively and non-covalently with an identical protein or proteins.
41,0,,KW-0687,GO:0019843,0.54,27660,50698,28317,1,Ribonucleoprotein,rRNA binding," Proteins conjugated with ribonucleic acid (RNA). Ribonucleoprotein are involved in a wide range of cellular processes. Besides ribosomes, in eukaryotic cells both initial RNA transcripts in the nucleus (hnRNA) and cytoplasmic mRNAs exist as complexes with specific sets of proteins. Processing (splicing) of the former is carried out by small nuclear RNPs (snRNPs). Other examples are the signal recognition particle responsible for targetting proteins to endoplasmic reticulum and a complex involved in termination of transcription",Interacting selectively and non-covalently with ribosomal RNA.
42,1,,KW-0687,GO:0003735,0.46,31025,50698,48096,2,Ribonucleoprotein,structural constituent of ribosome," Proteins conjugated with ribonucleic acid (RNA). Ribonucleoprotein are involved in a wide range of cellular processes. Besides ribosomes, in eukaryotic cells both initial RNA transcripts in the nucleus (hnRNA) and cytoplasmic mRNAs exist as complexes with specific sets of proteins. Processing (splicing) of the former is carried out by small nuclear RNPs (snRNPs). Other examples are the signal recognition particle responsible for targetting proteins to endoplasmic reticulum and a complex involved in termination of transcription",The action of a molecule that contributes to the structural integrity of the ribosome.
43,2,,KW-0687,GO:0003723,0.06,2928,50698,4428,3,Ribonucleoprotein,RNA binding," Proteins conjugated with ribonucleic acid (RNA). Ribonucleoprotein are involved in a wide range of cellular processes. Besides ribosomes, in eukaryotic cells both initial RNA transcripts in the nucleus (hnRNA) and cytoplasmic mRNAs exist as complexes with specific sets of proteins. Processing (splicing) of the former is carried out by small nuclear RNPs (snRNPs). Other examples are the signal recognition particle responsible for targetting proteins to endoplasmic reticulum and a complex involved in termination of transcription",Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
44,3,,KW-0687,GO:0000049,0.06,3258,50698,4870,4,Ribonucleoprotein,tRNA binding," Proteins conjugated with ribonucleic acid (RNA). Ribonucleoprotein are involved in a wide range of cellular processes. Besides ribosomes, in eukaryotic cells both initial RNA transcripts in the nucleus (hnRNA) and cytoplasmic mRNAs exist as complexes with specific sets of proteins. Processing (splicing) of the former is carried out by small nuclear RNPs (snRNPs). Other examples are the signal recognition particle responsible for targetting proteins to endoplasmic reticulum and a complex involved in termination of transcription",Interacting selectively and non-covalently with transfer RNA.
45,4,,KW-0687,GO:0046872,0.02,971,50698,5010,5,Ribonucleoprotein,metal ion binding," Proteins conjugated with ribonucleic acid (RNA). Ribonucleoprotein are involved in a wide range of cellular processes. Besides ribosomes, in eukaryotic cells both initial RNA transcripts in the nucleus (hnRNA) and cytoplasmic mRNAs exist as complexes with specific sets of proteins. Processing (splicing) of the former is carried out by small nuclear RNPs (snRNPs). Other examples are the signal recognition particle responsible for targetting proteins to endoplasmic reticulum and a complex involved in termination of transcription",Interacting selectively and non-covalently with any metal ion.
46,35,,KW-0528,GO:0090729,0.53,2370,2734,4145,1,Neurotoxin,toxin activity," Proteins, often exquisitely toxic, that inhibit neuronal function Neurotoxins act typically against sodium channels or block or enhance synaptic transmission. Most venoms contain neurotoxic substances","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
47,36,,KW-0528,GO:0008200,0.25,696,2734,741,2,Neurotoxin,ion channel inhibitor activity," Proteins, often exquisitely toxic, that inhibit neuronal function Neurotoxins act typically against sodium channels or block or enhance synaptic transmission. Most venoms contain neurotoxic substances","Stops, prevents, or reduces the activity of an ion channel."
48,37,,KW-0528,GO:0102567,0.04,114,2734,251,3,Neurotoxin,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"," Proteins, often exquisitely toxic, that inhibit neuronal function Neurotoxins act typically against sodium channels or block or enhance synaptic transmission. Most venoms contain neurotoxic substances","Catalysis of the reaction: 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine + H2O = 1-hexadecanoyl-sn-glycero-3-phosphocholine + hexadecanoate + H+"
49,38,,KW-0528,GO:0004623,0.04,128,2734,268,4,Neurotoxin,phospholipase A2 activity," Proteins, often exquisitely toxic, that inhibit neuronal function Neurotoxins act typically against sodium channels or block or enhance synaptic transmission. Most venoms contain neurotoxic substances",Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
50,39,,KW-0528,GO:0102568,0.04,115,2734,230,5,Neurotoxin,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)"," Proteins, often exquisitely toxic, that inhibit neuronal function Neurotoxins act typically against sodium channels or block or enhance synaptic transmission. Most venoms contain neurotoxic substances",Catalysis of the reaction: 1-18:1-2-18:1-phosphatidylethanolamine + H2O = 1-oleoyl-sn-glycero-3-phosphoethanolamine  + oleate + H+
51,317,,KW-0599,GO:0047646,0.48,19,40,19,1,Photoprotein,alkanal monooxygenase (FMN-linked) activity," Luminescent proteins, which are involved in the phenomenon of light emission in certain living organisms. E.g., green fluorescent protein which is unique among fluorescent proteins in that its chromophore is not a separately synthesized prostethic group but is composed of modified amino acid residues within its polypeptide chain",Catalysis of the reaction: R-CHO + reduced FMN + O2 = R-COOH + FMN + H2O + light.
52,318,,KW-0599,GO:0047077,0.13,5,40,5,2,Photoprotein,Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity," Luminescent proteins, which are involved in the phenomenon of light emission in certain living organisms. E.g., green fluorescent protein which is unique among fluorescent proteins in that its chromophore is not a separately synthesized prostethic group but is composed of modified amino acid residues within its polypeptide chain",Catalysis of the reaction: O2 + ATP + Photinus luciferin = light + diphosphate + AMP + CO2 + oxidized Photinus luciferin.
53,319,,KW-0599,GO:0016831,0.03,1,40,1,3,Photoprotein,carboxy-lyase activity," Luminescent proteins, which are involved in the phenomenon of light emission in certain living organisms. E.g., green fluorescent protein which is unique among fluorescent proteins in that its chromophore is not a separately synthesized prostethic group but is composed of modified amino acid residues within its polypeptide chain",Catalysis of the nonhydrolytic addition or removal of a carboxyl group to or from a compound.
54,320,,KW-0599,GO:0050248,0.03,1,40,1,4,Photoprotein,Renilla-luciferin 2-monooxygenase activity," Luminescent proteins, which are involved in the phenomenon of light emission in certain living organisms. E.g., green fluorescent protein which is unique among fluorescent proteins in that its chromophore is not a separately synthesized prostethic group but is composed of modified amino acid residues within its polypeptide chain",Catalysis of the reaction: Renilla luciferin + O2 = oxidized Renilla luciferin + CO2 + light.
55,321,,KW-0599,GO:0047712,0.03,1,40,1,5,Photoprotein,Cypridina-luciferin 2-monooxygenase activity," Luminescent proteins, which are involved in the phenomenon of light emission in certain living organisms. E.g., green fluorescent protein which is unique among fluorescent proteins in that its chromophore is not a separately synthesized prostethic group but is composed of modified amino acid residues within its polypeptide chain",Catalysis of the reaction: Cypridina luciferin + O2 = oxidized Cypridina luciferin + CO2 + light.
56,293,,KW-0257,GO:0001515,0.45,25,48,32,1,Endorphin,opioid peptide activity, Morphine-like peptides produced by the brain in response to neurotransmitters. They bind to neuron receptors that mediate the action of opiates and induce analgesia and sedation,"Naturally occurring peptide that is an opioid (any non-alkaloid having an opiate-like effect that can be reversed by naloxone or other recognized morphine antagonist). These include Leu- and Met-enkephalin, dynorphin and neoendorphin, alpha, beta, gamma and delta endorphins formed from beta-lipotropin, various pronase-resistant peptides such as beta casamorphin, and other peptides whose opiate-like action seems to be indirect."
57,294,,KW-0257,GO:0031628,0.15,8,48,14,2,Endorphin,opioid receptor binding, Morphine-like peptides produced by the brain in response to neurotransmitters. They bind to neuron receptors that mediate the action of opiates and induce analgesia and sedation,Interacting selectively and non-covalently with an opioid receptor.
58,295,,KW-0257,GO:0031782,0.06,3,48,3,3,Endorphin,type 4 melanocortin receptor binding, Morphine-like peptides produced by the brain in response to neurotransmitters. They bind to neuron receptors that mediate the action of opiates and induce analgesia and sedation,Interacting selectively and non-covalently with a type 4 melanocortin receptor.
59,296,,KW-0257,GO:0070996,0.06,3,48,3,4,Endorphin,type 1 melanocortin receptor binding, Morphine-like peptides produced by the brain in response to neurotransmitters. They bind to neuron receptors that mediate the action of opiates and induce analgesia and sedation,Interacting selectively and non-covalently with a type 1 melanocortin receptor.
60,297,,KW-0257,GO:0031781,0.06,3,48,3,5,Endorphin,type 3 melanocortin receptor binding, Morphine-like peptides produced by the brain in response to neurotransmitters. They bind to neuron receptors that mediate the action of opiates and induce analgesia and sedation,Interacting selectively and non-covalently with a type 3 melanocortin receptor.
61,393,,KW-0499,GO:0003917,0.43,3,7,3,1,Mobility protein,DNA topoisomerase type I activity," Protein involved in the conjugative transfer of plasmid DNA. These proteins provide the function of nicking the DNA at a certain point, guiding the 5' end of the nicked strand into the recipient cell, recircularization, and perhaps the priming of complementary strand synthesis in the recipient",Catalysis of a DNA topological transformation by transiently cleaving one DNA strand at a time to allow passage of another strand; changes the linking number by +1 per catalytic cycle.
62,394,,KW-0499,GO:0003678,0.09,2,7,18,2,Mobility protein,DNA helicase activity," Protein involved in the conjugative transfer of plasmid DNA. These proteins provide the function of nicking the DNA at a certain point, guiding the 5' end of the nicked strand into the recipient cell, recircularization, and perhaps the priming of complementary strand synthesis in the recipient","Catalysis of the reaction: NTP + H2O = NDP + phosphate, to drive the unwinding of a DNA helix."
63,395,,KW-0499,GO:0003899,0.08,1,7,7,3,Mobility protein,DNA-directed 5'-3' RNA polymerase activity," Protein involved in the conjugative transfer of plasmid DNA. These proteins provide the function of nicking the DNA at a certain point, guiding the 5' end of the nicked strand into the recipient cell, recircularization, and perhaps the priming of complementary strand synthesis in the recipient","Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'."
64,188,,KW-0652,GO:0030598,0.43,65,150,67,1,Protein synthesis inhibitor,rRNA N-glycosylase activity," Protein which blocks the synthesis of proteins (translation) through various mechanisms, including hydrolysis of cellular tRNA, and inactivation of the 60S subunits of eukaryotic ribosome",Catalysis of the hydrolysis of the N-glycosylic bond at A-4324 in 28S rRNA from rat ribosomes or corresponding sites in 28S RNA from other species.
65,189,,KW-0652,GO:0004540,0.14,23,150,36,2,Protein synthesis inhibitor,ribonuclease activity," Protein which blocks the synthesis of proteins (translation) through various mechanisms, including hydrolysis of cellular tRNA, and inactivation of the 60S subunits of eukaryotic ribosome",Catalysis of the hydrolysis of phosphodiester bonds in chains of RNA.
66,190,,KW-0652,GO:0004519,0.11,22,150,78,3,Protein synthesis inhibitor,endonuclease activity," Protein which blocks the synthesis of proteins (translation) through various mechanisms, including hydrolysis of cellular tRNA, and inactivation of the 60S subunits of eukaryotic ribosome",Catalysis of the hydrolysis of ester linkages within nucleic acids by creating internal breaks.
67,191,,KW-0652,GO:0008201,0.06,19,150,202,4,Protein synthesis inhibitor,heparin binding," Protein which blocks the synthesis of proteins (translation) through various mechanisms, including hydrolysis of cellular tRNA, and inactivation of the 60S subunits of eukaryotic ribosome","Interacting selectively and non-covalently with heparin, any member of a group of glycosaminoglycans found mainly as an intracellular component of mast cells and which consist predominantly of alternating alpha-(1->4)-linked D-galactose and N-acetyl-D-glucosamine-6-sulfate residues."
68,192,,KW-0652,GO:0008190,0.06,9,150,13,5,Protein synthesis inhibitor,eukaryotic initiation factor 4E binding," Protein which blocks the synthesis of proteins (translation) through various mechanisms, including hydrolysis of cellular tRNA, and inactivation of the 60S subunits of eukaryotic ribosome","Interacting selectively and non-covalently with eukaryotic initiation factor 4E, a polypeptide factor involved in the initiation of ribosome-mediated translation."
69,75,,KW-0527,GO:0005184,0.42,246,561,267,1,Neuropeptide,neuropeptide hormone activity, Peptides released by neurons as intercellular messengers. Many neuropeptides are also hormones released by non-neuronal cells. They have direct synaptic effects (peptide neurotransmitters) or indirect modulatory effects on the nervous system (peptide neuromodulators),"The action characteristic of a neuropeptide hormone, any peptide hormone that acts in the central nervous system. A neuropeptide is any of several types of molecules found in brain tissue, composed of short chains of amino acids; they include endorphins, enkephalins, vasopressin, and others. They are often localized in axon terminals at synapses and are classified as putative neurotransmitters, although some are also hormones."
