:ID,:LABEL,id,name,category,def
KW-1072,Keyword,KW-1072,Activation of host autophagy by virus,Biological process,"Viral protein involved in the activation of host autophagy. Autophagyis a major intracellular pathway in the delivery of cytoplasmicmaterial to lysosomes for degradation. It is also essential for theremoval of pathogenic protein aggregates from the cell duringinfection. Although autophagy is clearly important for antiviralimmune response, it can also be activated by viruses and serves asplatform for viral replication. Some viruses such as poliovirus, usethe autophagic pathway as a nonlytic mechanism for viral release"
KW-1073,Keyword,KW-1073,Activation of host caspases by virus,Biological process,"Viral protein involved in the activation of host cell apoptosis byacting on host caspases. While many viruses encode protein thatinhibit apoptosis, viruses can also use apoptosis to their advantageto suppress immune response or to disseminate. Therefore, some viralproteins are able to cleave or activate caspases in order to promoteapoptosis"
KW-1074,Keyword,KW-1074,Activation of host NF-kappa-B by virus,Biological process,"Viral protein involved in the activation of host NF-kappa-B. Thisprotein is a pleiotropic transcription factor which is present inalmost all cell types and is involved in many biological processedsuch as inflammation, immunity, differentiation, cell growth,tumorigenesis and apoptosis. Several viruses have developed strategiesto activate the NF-kappa-B pathway in order to promote viralreplication and prevent virus-induced apoptosis"
KW-0010,Keyword,KW-0010,Activator,Molecular function,"Protein that positively regulates either the transcription of one ormore genes, or the translation of mRNA"
KW-0011,Keyword,KW-0011,Acute phase,Biological process,"Protein involved in acute phase, a response of the vertebrate body toinsults, infections, immunological reactions or inflammatoryprocesses; characterised by redness (rubor), heat (calor), swelling(tumor), pain (dolor) and sometimes loss of function"
KW-0012,Keyword,KW-0012,Acyltransferase,Molecular function,Enzyme catalyzing the transfer of acyl- (RCO-) groups
KW-1064,Keyword,KW-1064,Adaptive immunity,Biological process,"Protein involved in adaptive immunity. Vertebrates can develop a broadand almost infinite repertoire of antigen-specific receptors, whichallows vertebrates to recognize almost any potential pathogen or toxinand to mount antigen-specific responses to it. Two types of adaptiveimmunity systems have evolved in vertebrates in order to generateimmune receptor diversity. The jawed vertebrates strategy uses theV(D)JC recombination to achieve combinatorial diversity ofimmunoglobulin-based B cell receptors and T cell receptors. Thejawless vertebrate strategy uses the somatic rearrangements ofvariable leucine-rich cassettes in the variable lymphocyte receptors(VLRs). The hallmarks of an adaptive immune system is the productionof antigen-specific recognition receptor by somatic generearrangement. The long life of some antigen-primed cytotoxiclymphocytes and plasma cells provide protective memory to preventreinvasion"
KW-0013,Keyword,KW-0013,ADP-ribosylation,PTM,Protein which is posttranslationally modified by the attachment of atleast one ADP-ribosyl group
KW-0913,Keyword,KW-0913,Age-related macular degeneration,Disease,"Protein which, if defective, causes age-related macular degeneration(ARMD), the most common cause of irreversible vision loss in thedeveloped world. In most patients, the disease is manifest asophthalmoscopically visible yellowish accumulations of protein andlipid (known as drusen) that lie beneath the retinal pigmentepithelium and within an elastin-containing structure known as Bruch'smembrane. ARMD is likely to be a mechanistically heterogeneous groupof disorders, and the specific disease mechanisms that underlie thevast majority of cases are currently unknown. However, a number ofstudies have suggested that both genetic and environmental factors arelikely to play a role"
KW-0948,Keyword,KW-0948,Aicardi-Goutieres syndrome,Disease,"Protein which, if defective, causes Aicardi-Goutieres syndrome, agenetic disorder that is phenotypically similar to in utero viralinfection. The disease is characterized by severe neurologicaldysfunction in infancy, leading to progressive microcephaly,spasticity, dystonic posturing, profound psychomotor retardation andoften death in early childhood"
KW-0014,Keyword,KW-0014,AIDS,Disease,"Protein encoded by the human immunodeficiency viruses HIV-1 or HIV-2,which are the cause of acquired immunodeficiency syndrome (AIDS). Thisdisease is characterized by a severe defect of cell-mediated immunitywhich is often accompanied by cancers such as Kaposi's sarcoma, aswell as secondary infections such as tuberculosis"
KW-0015,Keyword,KW-0015,Albinism,Disease,"Protein which, if defective, causes albinism, a genetically determinedor environmentally induced absence of pigmentation in animals normallypigmented. This can lead for example to lack of pigmentation in hair,skin and eyes"
KW-0016,Keyword,KW-0016,Alginate biosynthesis,Biological process,"Protein involved in the synthesis of alginate. Alginate is anexopolysaccharide in the cell walls of brown algae and in the capsularmaterial of certain strains of Pseudomonas and Azotobacter, in whichit provides a protective barrier against host immune defenses andantibiotics"
KW-0017,Keyword,KW-0017,Alkaloid metabolism,Biological process,"Protein involved in a biochemical reaction with alkaloids, a group ofnitrogenous organic molecules (mostly heterocyclic) usually found inplants. Various alkaloids have toxic or medical properties, such ascaffeine, morphine and nicotine"
KW-0019,Keyword,KW-0019,Alkylphosphonate uptake,Biological process,Protein involved in alkylphosphonate uptake. Certain bacteria such asEscherichia coli can use alkylphosphonates as a phosphorus source
KW-0020,Keyword,KW-0020,Allergen,Disease,"Protein that stimulates the production of, and reacts with, antibodies(IgE) thus creating an allergic reaction (immediate-typehypersensitivity). Examples are pollen allergens from plants, venomallergens from insects, dust-mite allergens, and animal hairallergens"
KW-0021,Keyword,KW-0021,Allosteric enzyme,Technical term,"Enzyme whose activity is modified by the noncovalent binding of anallosteric effector at a site other than the active site. This bindingmediates conformational changes, altering its catalytic or bindingproperties"
KW-0022,Keyword,KW-0022,Alpha-amylase inhibitor,Molecular function,"Protein that inhibits alpha-amylase, an enzyme that catalyzes theendohydrolysis of 1,4-alpha-glucosidic linkages in oligosaccharidesand polysaccharides"
KW-0023,Keyword,KW-0023,Alport syndrome,Disease,"Protein which, if defective, causes Alport syndrome, an hereditarydisorder characterized by a progressive glomerulonephritis leading toend-stage renal disease, often associated with sensorineural hearingloss and ocular abnormalities"
KW-0024,Keyword,KW-0024,Alternative initiation,Coding sequence diversity,Protein for which at least two isoforms exist due to the usage ofalternative initiation codons in the same mRNA (the resulting isoformsdiffer in their N-terminus if they are in frame)
KW-0877,Keyword,KW-0877,Alternative promoter usage,Coding sequence diversity,Protein for which at least two isoforms exist due to the alternativeusage of promoters
KW-0025,Keyword,KW-0025,Alternative splicing,Coding sequence diversity,Protein for which at least two isoforms exist due to distinct pre-mRNAsplicing events
KW-0026,Keyword,KW-0026,Alzheimer disease,Disease,"Protein which, if defective, causes Alzheimer disease, aneurodegenerative disorder characterized by progressive dementia andglobal loss of cognitive abilities. The condition primarily occursafter age 60, and is marked pathologically by severe cortical atrophy,senile plaques, neurofibrillary tangles, and neuropil threads. Early-onset forms also occurr"
KW-0986,Keyword,KW-0986,Amelogenesis imperfecta,Disease,"Protein which, if defective, causes amelogenesis imperfecta, aclinically and genetically heterogeneous group of disorders affectingthe dental enamel. The enamel may be hypoplastic, hypomineralized orboth, and affected teeth may be discoloured, sensitive or prone todisintegration either pre-eruption or post-eruption. In thehypoplastic type of amelogenesis imperfecta, the enamel is of normalhardness but does not develop to normal thickness. In thehypomineralized type, the enamel is of normal thickness but opaque oryellowish white without lustre on newly erupted teeth; it is so softthat it is lost soon after eruption. Amelogenesis imperfectaoccasionally occurs in conjunction with other dental, oral and extra-oral features"
KW-0027,Keyword,KW-0027,Amidation,PTM,"Peptide which is posttranslationally modified by C-terminal amidationThe amino acid to be modified is almost always followed by a glycine,which provides the amide group. In a first reaction step the glycineis oxidized to form alpha-hydroxy-glycine. The oxidized glycinecleaves into the C-terminally amidated peptide and an N-glyoxylatedpeptide. C-terminal amidation is essential to the biological activityof many neuropeptides and hormones. In a few cases alpha-oxidativecleavage of an amino acid other than glycine has been observed. Allsuch cases are additionally annotated with the word ""atypical"" in thefeature description"
KW-0028,Keyword,KW-0028,Amino-acid biosynthesis,Biological process,"Protein involved in the synthesis of naturally-occuring amino acidsIn addition to their use for protein biosynthesis, they are theprecursors of many molecules such as purines, pyrimidines, histamines,adrenaline and melanin"
KW-0029,Keyword,KW-0029,Amino-acid transport,Biological process,Protein involved in the transport of amino acids
KW-0030,Keyword,KW-0030,Aminoacyl-tRNA synthetase,Molecular function,"Enzyme that activates an amino acid for translation by forming anaminoacyladenylate intermediate and then links this activated aminoacid to the corresponding tRNA molecule (amino acid-tRNA, aminoacyl-tRNA). In general, a specific aminoacyl-tRNA synthase is available foreach amino acid"
KW-0031,Keyword,KW-0031,Aminopeptidase,Molecular function,Enzyme that catalyzes the removal of amino acids from the N-terminusof peptides and proteins
KW-0032,Keyword,KW-0032,Aminotransferase,Molecular function,Enzyme that catalyzes the transfer of an alpha-amino group from anamino acid to an alpha-keto acid. The amino group is usuallycovalently bound by the prosthetic group pyridoxal phosphate
KW-0924,Keyword,KW-0924,Ammonia transport,Biological process,"Protein involved in the transport of ammonia/ammonium. Ammonia is anexcellent nitrogen source for many bacteria, fungi, and plants, but itcan be cytotoxic, especially for animal cells at high concentrationIts transport across cellular membranes is thus of high biologicalrelevance. Ammonia (NH3) is a weak base and exists predominantly asthe ammonium ion (NH4+) in biological fluids"
KW-0878,Keyword,KW-0878,Amphibian defense peptide,Molecular function,"Protein specifically found in the skin of animals belonging to thevertebrate class amphibia, that includes frogs, toads, newts,salamanders and worm-like apoda. The skins of anuran amphibians, inaddition to mucous glands, contain highly specialized poison glands,which, in reaction to stress or attack, exude a complex noxiousspecies-specific cocktail of biologically active molecules. Thesesecretions often contain a plethora of peptides such as neuropeptidesand hormones. The frog dermatous glands also synthesize and store anextraordinarily rich variety of wide-spectrum antimicrobial peptidesthat are released onto the outer layer of the skin to provide aneffective and fast-acting defense against harmful microorganisms"
KW-0034,Keyword,KW-0034,Amyloid,Cellular component,"Proteins which may form wide, insoluble, unbranched filamentspossessing a cross-beta sheet quaternary structure, where the betasheets are oriented perpendicular to the fibre axis. Amyloid fibrilsmay be involved in abnormal protein depositions, or amyloidosis, suchas Alzheimer's or Parkinson's diseases. Functional amyloids, found ina wide range of organism, from bacteria to mammals are involved indiverse functions such as biofilm formation, formation of aerialhyphae, long-term memory or regulation of melanin biosynthesis"
KW-1008,Keyword,KW-1008,Amyloidosis,Disease,"Protein which, if defective, causes amyloidosis, a vast group ofdiseases defined by the accumulation of amyloid in tissuesAmyloidoses are classified according to clinical signs, biochemicaltype of amyloid protein involved, and the extent of amyloid deposition(generalized or localized). Most amyloidoses are multisystemicdiseases affecting several organs or systems. Mainly affected organsare the kidneys, heart, gastrointestinal tract, liver, skin,peripheral nerves and eyes, but any organ can be affected. The mostfrequent forms are primary amyloidosis, also known as light-chainimmunoglobulin amyloidosis (AL), reactive or inflammatory amyloidosis,also known as acquired amyloidosis (AA), and transthyretin amyloidosis(ATTR). Localized amyloidosis affecting the brain is characteristic ofAlzheimer's disease, trisomy 21, and prion diseases (transmissiblespongiform encephalitis, Creutzfeldt-Jakob disease, Gerstmann-Straussler-Scheinker syndrome, fatal familial insomnia). In priondiseases the amyloid precursor is the prion protein"
KW-0035,Keyword,KW-0035,Amyloplast,Cellular component,"Protein found in the amyloplast, a colorless plant plastid that formsand stores starch. Amyloplasts are found in many tissues, particularlyin storage tissues"
KW-0036,Keyword,KW-0036,Amyotrophic lateral sclerosis,Disease,"Protein which, if defective, causes amyotrophic lateral sclerosis(ALS), a degenerative disorder of motor neurons in the cortex, brainstem and spinal cord. ALS is characterized by muscular weakness andatrophy"
KW-0037,Keyword,KW-0037,Angiogenesis,Biological process,"Protein involved in angiogenesis, the sprouting or splitting ofcapillaries from pre-existing vasculature. Angiogenesis plays animportant role for example during embryonic development, normal growthof tissues and maintenance of the normal vasculature, wound healing,tumor growth and metastasis"
KW-0039,Keyword,KW-0039,Anion exchange,Biological process,Protein involved in the exchange of anions across a membrane. Anionexchange is a cellular transport function which contributes to theregulation of cell pH and volume by a functionally related anionexchanger protein family
KW-0040,Keyword,KW-0040,ANK repeat,Domain,"Protein containing at least one ANK repeat, a conserved domain ofapproximately 33 amino acids, that was originally identified inankyrin. It has been described as an L-shaped structure consisting ofa beta-hairpin and two alpha-helices. Many ankyrin repeat regions areknown to function as protein-protein interaction domains"
KW-0041,Keyword,KW-0041,Annexin,Domain,"Protein containing at least one annexin repeat, a conserved domain of61 residues, which is present in proteins of the annexin family ineither four or eight copies. The annexin calcium binding sites arefound within the repeated domains"
KW-0042,Keyword,KW-0042,Antenna complex,Cellular component,"Component of an antenna complex or protein regulating the expressionof such components. Antenna complexes are light-harvesting systems(LHC) which are protein-pigment complexes in or on photosyntheticmembranes. LHCs receive radiant energy and transfer it to the reactioncenters; an array of LHCs is often referred to as an ""antenna"". LHCstypically include one or more associated pigments (phycobilins,chlorophylls, bacteriochlorophylls and carotenoids)"
KW-0044,Keyword,KW-0044,Antibiotic,Molecular function,Protein with antibacterial activity
KW-0045,Keyword,KW-0045,Antibiotic biosynthesis,Biological process,"Protein involved in the synthesis of antibiotics. Antibiotics areorganic compounds produced by living organims that can selectivelyinhibit the growth of, or kill bacteria"
KW-0046,Keyword,KW-0046,Antibiotic resistance,Biological process,"Protein that confers, on bacteria, the ability to withstandantibiotics. The resistance is often due either to mutations thatprevent antibiotic binding to the protein or to amplification of thegene encoding the protein"
KW-0047,Keyword,KW-0047,Antifreeze protein,Molecular function,Protein that lowers the freezing point of blood or other biologicalfluids by inhibiting the formation of water ice crystals
KW-0929,Keyword,KW-0929,Antimicrobial,Molecular function,"Protein which has deleterious effects on any type of microbe. Microbeis a general term for microscopic unicellular organisms, such asbacteria, archaea, fungi and protista. While the term microbe is oftenalso used for viruses, we do not apply the keyword antimicrobial toantiviral proteins"
KW-0049,Keyword,KW-0049,Antioxidant,Molecular function,"Protein capable of counteracting the damaging effects of oxidation,e.g. by trapping free radicals generated during the metabolic burstand possibly inhibiting ageing. Scavengers of highly reactive andharmful oxygen species"
KW-0050,Keyword,KW-0050,Antiport,Biological process,"Protein involved in the transport of a solute across a biologicalmembrane coupled, directly, to the transport of a different solute inthe opposite direction"
KW-0051,Keyword,KW-0051,Antiviral defense,Biological process,"Protein synthesized or activated in the cell in response to viralinfection, or protein with specific antiviral activity within thecell. Eukaryotic cells have an innate immune mechanism to fight viralinfection, which is activated through the interferon signaling pathwayor through dsRNA detection in the cytoplasm. It leads to theestablishment of an antiviral cell state, which prevents virusreplication or induces apoptosis. Most viruses have developed specificproteins to prevent the establishment of an antiviral state. Abouthalf of all bacteria and most archaea have a CRISPR (clusteredregularly interspersed short plaindromic repeats) system of adaptiveimmunity to exogenous DNA. CRISPRs clusters are tandem arrays ofalternating repeats and spacers, where the spacers in some cases arehomologous to sequences from virus and plasmid genomes. The CRISPRarrays are transcribed, processed and in some way aid in detection andresistance to foreign DNA. In at least a few bacteria (E.coli,S.epidermidis) it seems DNA is the target, whereas in Pyrococcusfuriosis it seems the CRISPR system targets RNA"
KW-0930,Keyword,KW-0930,Antiviral protein,Molecular function,Protein with antiviral activity. Often this activity is fortuitous(e.g. a bacterial protein displaying anti-HIV activity)
KW-0993,Keyword,KW-0993,Aortic aneurysm,Disease,"Protein which, if defective, causes aortic aneurysm. Aortic aneurysmis the dilation of the wall of the aorta. It forms a sac that isfilled with fluid or clotted blood, often resulting in a pulsatingtumor. Aortic aneurysms are classified by their location on the aorta"
KW-0933,Keyword,KW-0933,Apicoplast,Cellular component,"Protein encoded by the apicoplast genome or protein located in theapicoplast, a plastid found in some apicomplexan parasites which is anon-photosynthetic plastid relict. This organelle contains ring-likeDNA of about 35 Kb as a third type of cell genome. Apicoplasts do notcontain thylakoids; it is not yet clear if they contain internalmembranes"
KW-0052,Keyword,KW-0052,Apoplast,Cellular component,"Protein which is found in the part of the plant which is external tothe living protoplast, ie the cell wall, the intercellular space andthe lumina of dead cells such as xylem vessels and tracheids"
KW-0053,Keyword,KW-0053,Apoptosis,Biological process,"Protein involved in apoptotic programmed cell death. Apoptosis ischaracterized by cell morphological changes, including blebbing, cellshrinkage, nuclear fragmentation, chromatin condensation andchromosomal DNA fragmentation, and eventually death. Unlike necrosis,apoptosis produces cell fragments, called apoptotic bodies, thatphagocytic cells are able to engulf and quickly remove before thecontents of the cell can spill out onto surrounding cells and causedamage. In general, apoptosis confers advantages during an organism'slife cycle"
KW-0054,Keyword,KW-0054,Arabinose catabolism,Biological process,"Protein involved in arabinose breakdown. Arabinose is a 5-carbonaldose sugar found in plant gums, pectins and bacterial cell wallpolysaccharides"
KW-0974,Keyword,KW-0974,Archaeal flagellum,Cellular component,"Archaeal protein present in a flagellum, a long hair-like cell surfaceappendage made of polymerized flagellin with an attached hook. Thisrotating structure with switches propels the cell through a liquidmedium. The archaeal flagellum is distinct from its bacterialequivalent in terms of architecture, composition and mechanism ofassembly. Thinner (10-15 nm) compared to the bacterial flagellum (18-24 nm), it is usually composed of several types of flagellins and isglycosylated. The archaeal flagellum is considered as a type IV pilus-like structure"
KW-1209,Keyword,KW-1209,Archaeal flagellum biogenesis,Biological process,"Protein which is involved in the formation, organization ormaintenance of the archaeal flagellum, a long hair-like cell surfaceappendage made of polymerized flagellin with an attached hook. Thisrotating structure with switches propels the cell through a liquidmedium. The archaeal flagellum is distinct from its bacterialequivalent in terms of architecture, composition and mechanism ofassembly. Thinner (10-15 nm) compared to the bacterial flagellum (18-24 nm), it is usually composed of several types of flagellins and isglycosylated. The archaeal flagellum is considered as a type IV pilus-like structure"
KW-0055,Keyword,KW-0055,Arginine biosynthesis,Biological process,Protein involved in the synthesis of the basic amino acid arginine(Arg)
KW-0056,Keyword,KW-0056,Arginine metabolism,Biological process,Protein involved in biochemical reactions with the basic amino acidarginine (Arg)
KW-0057,Keyword,KW-0057,Aromatic amino acid biosynthesis,Biological process,"Protein involved in the synthesis of an amino acid with an aromaticside-chain: phenylalanine (Phe), tyrosine (Tyr) and tryptophan (Trp)"
KW-0058,Keyword,KW-0058,Aromatic hydrocarbons catabolism,Biological process,"Protein involved in the breakdown of aromatic hydrocarbons. Aromatichydrocarbons are compounds which only contain carbon and hydrogen,examples include the common pollutants benzene and naphthalene"
KW-0059,Keyword,KW-0059,Arsenical resistance,Biological process,"Protein that confers, on bacteria and other microorganisms, theability to withstand aromatic compounds of arsenic"
KW-0060,Keyword,KW-0060,Ascorbate biosynthesis,Biological process,"Protein involved in the synthesis of ascorbate, the ionized form ofascorbic acid (vitamin C). Ascorbic acid is derived from glucose viathe uronic acid pathway. This water-soluble vitamin is essential forthe synthesis of bone, cartilage and dentine. It is required in thediet of primates and some other species that cannot synthesize L-ascorbic acid because of their deficiency in L-gulono-gamma-lactoneoxidase, a key enzyme for the biosynthesis of this vitamin"
KW-0061,Keyword,KW-0061,Asparagine biosynthesis,Biological process,Protein involved in the synthesis of the polar amino acid asparagine(Asn)
KW-0062,Keyword,KW-0062,Aspartic protease inhibitor,Molecular function,"Protein which inhibits the catalytic activity of an aspartyl protease,a class of proteases that contains an active site aspartate residue(Asp), e.g. pepsin, HIV retropepsin, renin, etc"
KW-0063,Keyword,KW-0063,Aspartyl esterase,Molecular function,Enzyme which catalyzes the hydrolysis of esters and is characterizedby a catalytically active aspartic acid residue in its active site
KW-0064,Keyword,KW-0064,Aspartyl protease,Molecular function,"Proteolytic enzyme with an aspartate residue (Asp) in its active siteThere are many families of aspartyl proteases. The most well known oneis the pepsin family (A1 in MEROPS classification) which is known toexist in vertebrates, fungi, plants, retroviruses and some plantviruses"
KW-1270,Keyword,KW-1270,Asperger syndrome,Disease,"Protein which, if defective, is involved in Asperger syndrome, acomplex, multifactorial disorder. It is characterized by clinicallysignificant impairment of social interaction, and restrictedrepetitive and stereotyped patterns of behavior. Asperger syndrome isprimarily distinguished from autism by the higher cognitive abilitiesand a more normal and timely development of language and communicativephrases"
KW-1058,Keyword,KW-1058,Asthma,Disease,"Protein which, if defective, is associated with asthma, a bronchialdisorder associated with airway inflammation, swelling andobstruction. It is marked by recurrent attacks of paroxysmal dyspnea,with wheezing due to spasmodic contraction of the bronchi"
KW-0065,Keyword,KW-0065,Atherosclerosis,Disease,"Protein which, if defective, causes atherosclerosis, which ischaracterized by deposits of plaques (atheromas) in the blood vessels,thus narrowing the vessel lumen and restricting blood flow. Atheromasconsist of lipids (cholesterol), carbohydrates, blood products,fibrous tissue and calcium deposits"
KW-0066,Keyword,KW-0066,ATP synthesis,Biological process,Protein involved in the synthesis of adenosine 5'-triphosphate (ATP)ATP is a ribonucleotide adenosine (a purine base adenine linked to thesugar D-ribofuranose) which carries 3 phosphate groups esterified tothe sugar moiety. It is the cell's source for energy and phosphate
KW-0067,Keyword,KW-0067,ATP-binding,Ligand,"Protein which binds adenosine 5'-triphosphate (ATP), a ribonucleotideadenosine (a purine base adenine linked to the sugar D-ribofuranose)that carries three phosphate groups esterified to the sugar moiety. Itis the cell's source for energy and phosphate"
KW-1020,Keyword,KW-1020,Atrial fibrillation,Disease,"Protein which, if defective, causes atrial fibrillation, a commoncardiac arrhythmia marked by disorganized atrial electrical activityand rapid randomized contractions of small areas of the atrialmyocardium, causing a totally irregular, and rapid, ventricular rate"
KW-0976,Keyword,KW-0976,Atrial septal defect,Disease,"Protein which, if defective, causes atrial septal defect, a congenitalcardiac anomaly characterized by persistent patency of the atrialseptum that results in blood flow between the atria. It is due tofailure of fusion between either the septum secundum or the septumprimum and the endocardial cushions"
KW-1269,Keyword,KW-1269,Autism,Disease,"Protein which, if defective, is involved in autism, a pervasivedevelopmental disorder. It is a complex, multifactorial diseasecharacterized by impairments in reciprocal social interaction andcommunication, restricted and stereotyped patterns of interests andactivities, and the presence of developmental abnormalities by 3 yearsof age. Most individuals with autism manifest moderate mentalretardation"
KW-1268,Keyword,KW-1268,Autism spectrum disorder,Disease,"Protein which, if defective, is involved in autism spectrum disorder,a clinically heterogeneous group of disorders that share commonfeatures of impaired social relationships, impaired language andcommunication, repetitive behaviors, and a restricted range ofinterests. The spectrum includes diverse phenotypic manifestations,such as classic autism, Asperger syndrome, childhood disintegrativedisorder, Rett syndrome, and pervasive developmental disorder nototherwise specified"
KW-0068,Keyword,KW-0068,Autocatalytic cleavage,PTM,Protein catalyzing its own cleavage
KW-0069,Keyword,KW-0069,Autoimmune encephalomyelitis,Disease,"Protein which, if defective, causes autoimmune encephalomyelitis. Thisform of autoimmune inflammation of the brain and spinal cord causesdemyelination"
KW-0070,Keyword,KW-0070,Autoimmune uveitis,Disease,"Protein which, if defective, causes autoimmune inflammation of theuvea, which is the vascular middle coat of the eye, comprising theiris, ciliary body and choroid"
KW-0071,Keyword,KW-0071,Autoinducer synthesis,Biological process,"Protein involved in the synthesis of an autoinducer, a molecule whichtriggers the regulators of biosynthetic genes"
KW-0072,Keyword,KW-0072,Autophagy,Biological process,"Protein participating in autophagy, a process of intracellular bulkdegradation in which cytoplasmic components including organelles aresequestered within double-membrane vesicles that deliver the contentsto the lysosome/vacuole for degradation. There are three primary formsof autophagy: chaperone-mediated autophagy, microautophagy andmacroautophagy. During macroautophagy, the sequestering vesicles,termed autophagosomes, fuse with the lysosome or vacuole resulting inthe delivery of an inner vesicle (autophagic body) into the lumen ofthe degradative compartment"
KW-0073,Keyword,KW-0073,Auxin biosynthesis,Biological process,Protein involved in the synthesis of auxins. Auxins are plant hormoneswhich play a role in many aspects of plant growth and development
KW-0927,Keyword,KW-0927,Auxin signaling pathway,Biological process,"Protein involved in the auxin signaling pathway (e.g. transport andsignal transduction) that regulates many aspects of plant growth anddevelopment (e.g. caulogenesis, rhizogenesis, tropisms, nodulation)The major form of this phytohormone is indole-3-acetic acid (IAA) thatcan be synthesized both from tryptophan (Trp) using Trp-dependentpathways and from an indolic Trp precursor via Trp-independentpathways. Plants can also obtain IAA by b-oxidation of indole-3-butyric acid (IBA), a second endogenous auxin, or by hydrolysing IAAconjugates, in which IAA is linked to amino acids, sugars or peptides"
KW-0075,Keyword,KW-0075,B-cell activation,Biological process,"Protein involved in the activation and proliferation of B-cells. B-cells are activated by the binding of antigen to receptors on its cellsurface which causes the cell to divide and proliferate. Somestimulated B-cells become plasma cells, which secrete antibodiesOthers become long-lived memory B-cells which can be stimulated at alater time to differentiate into plasma cells"
KW-0975,Keyword,KW-0975,Bacterial flagellum,Cellular component,"Bacterial protein present in a flagellum, a long hair-like cellsurface appendage. The flagellar apparatus consists of the flagellarfilament made of polymerized flagellin, the hook-like structure nearthe cell surface and a system of rings embedded in the cell enveloppe(the basal body or flagellar motor). The basal body and the hookanchor the whip-like filament to the cell surface. The flagellum is arotating structure with switches propels the cell through a liquidmedium"
