:ID,:LABEL,id,length
Q9ZQY6,Seq,Q9ZQY6,477
Q14738,Seq,Q14738,602
P38903,Seq,P38903,757
A4FV68,Seq,A4FV68,467
Q16537,Seq,Q16537,467
Q8RW96,Seq,Q8RW96,522
Q13362,Seq,Q13362,524
Q60996,Seq,Q60996,524
Q8LF36,Seq,Q8LF36,492
Q9LVE2,Seq,Q9LVE2,546
Q38845,Seq,Q38845,588
Q32PI5,Seq,Q32PI5,589
Q09543,Seq,Q09543,590
Q54QR9,Seq,Q54QR9,584
P36179,Seq,P36179,591
P30153,Seq,P30153,589
Q76MZ3,Seq,Q76MZ3,589
Q9UT08,Seq,Q9UT08,590
P31383,Seq,P31383,635
Q38950,Seq,Q38950,587
P30154,Seq,P30154,601
Q38951,Seq,Q38951,587
Q9XGR4,Seq,Q9XGR4,538
Q5QIT3,Seq,Q5QIT3,536
Q8VZQ4,Seq,Q8VZQ4,536
P36872,Seq,P36872,499
P63151,Seq,P63151,447
Q6P1F6,Seq,Q6P1F6,447
P36876,Seq,P36876,447
Q12702,Seq,Q12702,463
Q00362,Seq,Q00362,526
Q39247,Seq,Q39247,501
Q00005,Seq,Q00005,443
P36877,Seq,P36877,443
P56932,Seq,P56932,453
Q7ZX64,Seq,Q7ZX64,447
Q10428,Seq,Q10428,548
P78759,Seq,P78759,627
P04229,Seq,P04229,266
P01912,Seq,P01912,266
P13760,Seq,P13760,266
P13761,Seq,P13761,266
Q30134,Seq,Q30134,266
Q9TQE0,Seq,Q9TQE0,266
Q30167,Seq,Q30167,266
P20039,Seq,P20039,266
Q95IE3,Seq,Q95IE3,266
Q5Y7A7,Seq,Q5Y7A7,266
Q9GIY3,Seq,Q9GIY3,266
P01911,Seq,P01911,266
Q29974,Seq,Q29974,266
O04529,Seq,O04529,378
P84782,Seq,P84782,17
P15459,Seq,P15459,164
Q9FH31,Seq,Q9FH31,165
Q39649,Seq,Q39649,141
P86783,Seq,P86783,44
P9WIR9,Seq,P9WIR9,303
P9WHP5,Seq,P9WHP5,270
Q7NXD4,Seq,Q7NXD4,285
P14060,Seq,P14060,373
P24815,Seq,P24815,373
P22071,Seq,P22071,373
P26439,Seq,P26439,372
P26150,Seq,P26150,373
Q61767,Seq,Q61767,373
Q62878,Seq,Q62878,373
Q61694,Seq,Q61694,373
P27364,Seq,P27364,373
Q9H2F3,Seq,Q9H2F3,369
O35048,Seq,O35048,338
P14893,Seq,P14893,373
P9WQP7,Seq,P9WQP7,370
P55194,Seq,P55194,680
P78314,Seq,P78314,561
Q06649,Seq,Q06649,559
Q9V785,Seq,Q9V785,477
O60239,Seq,O60239,455
Q9Z131,Seq,Q9Z131,463
Q91Y80,Seq,Q91Y80,457
Q84SM8,Seq,Q84SM8,627
F1CKI6,Seq,F1CKI6,627
F1CKI8,Seq,F1CKI8,627
F1CKI9,Seq,F1CKI9,627
P85078,Seq,P85078,21
Q59087,Seq,Q59087,272
P05147,Seq,P05147,153
P46952,Seq,P46952,286
Q78JT3,Seq,Q78JT3,286
P46953,Seq,P46953,286
P47096,Seq,P47096,177
Q46ZL2,Seq,Q46ZL2,471
Q8NLB6,Seq,Q8NLB6,442
A9CH01,Seq,A9CH01,342
Q9SZE1,Seq,Q9SZE1,334
Q9V8M5,Seq,Q9V8M5,324
P31937,Seq,P31937,336
Q99L13,Seq,Q99L13,335
Q8GSN8,Seq,Q8GSN8,460
Q9I0N5,Seq,Q9I0N5,201
P04395,Seq,P04395,282
P29372,Seq,P29372,298
Q04841,Seq,Q04841,333
Q5XF51,Seq,Q5XF51,384
A0S864,Seq,A0S864,109
A0S865,Seq,A0S865,111
P86096,Seq,P86096,64
P86098,Seq,P86098,64
P86099,Seq,P86099,64
P71864,Seq,P71864,563
Q7D5C1,Seq,Q7D5C1,566
Q06401,Seq,Q06401,573
A0R4S9,Seq,A0R4S9,569
Q04616,Seq,Q04616,507
A3DIJ8,Seq,A3DIJ8,156
P30871,Seq,P30871,433
Q82UI9,Seq,Q82UI9,151
P86095,Seq,P86095,59
P86097,Seq,P86097,60
P01446,Seq,P01446,60
Q8QGR0,Seq,Q8QGR0,86
B3EWF8,Seq,B3EWF8,60
P86094,Seq,P86094,58
D5MP61,Seq,D5MP61,576
Q9LCB9,Seq,Q9LCB9,460
Q8RS40,Seq,Q8RS40,469
Q9V8R9,Seq,Q9V8R9,1698
P11171,Seq,P11171,864
Q33DV3,Seq,Q33DV3,457
P48193,Seq,P48193,858
Q42524,Seq,Q42524,561
Q9S725,Seq,Q9S725,556
Q9S777,Seq,Q9S777,561
Q9LU36,Seq,Q9LU36,570
Q9LQ12,Seq,Q9LQ12,542
Q84P21,Seq,Q84P21,546
Q84P24,Seq,Q84P24,566
Q9M0X9,Seq,Q9M0X9,544
Q84P23,Seq,Q84P23,562
Q9SMT7,Seq,Q9SMT7,514
Q98TT6,Seq,Q98TT6,112
Q13541,Seq,Q13541,118
Q60876,Seq,Q60876,117
Q62622,Seq,Q62622,117
Q13542,Seq,Q13542,120
P70445,Seq,P70445,120
O60516,Seq,O60516,100
Q9NRA8,Seq,Q9NRA8,985
Q9EST3,Seq,Q9EST3,983
P08195,Seq,P08195,630
Q7YQK3,Seq,Q7YQK3,529
Q794F9,Seq,Q794F9,527
Q04416,Seq,Q04416,151
P56653,Seq,P56653,141
A9AQW9,Seq,A9AQW9,338
A6WXX7,Seq,A6WXX7,337
Q2YLF3,Seq,Q2YLF3,333
Q2T3J4,Seq,Q2T3J4,310
Q7NU77,Seq,Q7NU77,308
B9R4E3,Seq,B9R4E3,327
A0NXQ7,Seq,A0NXQ7,310
A1BBM5,Seq,A1BBM5,334
A5VZY6,Seq,A5VZY6,308
A3QFI1,Seq,A3QFI1,333
D2AV87,Seq,D2AV87,333
Q8P833,Seq,Q8P833,312
Q8GWW6,Seq,Q8GWW6,342
Q1PE49,Seq,Q1PE49,247
P70994,Seq,P70994,62
P76491,Seq,P76491,199
Q9SRE0,Seq,Q9SRE0,354
Q8L539,Seq,Q8L539,277
P0AC28,Seq,P0AC28,182
Q9ZR27,Seq,Q9ZR27,460
B2NID7,Seq,B2NID7,504
P08908,Seq,P08908,422
Q64264,Seq,Q64264,421
P19327,Seq,P19327,422
Q98998,Seq,Q98998,408
P28222,Seq,P28222,390
P28334,Seq,P28334,386
P28564,Seq,P28564,386
P28221,Seq,P28221,377
Q61224,Seq,Q61224,374
P28566,Seq,P28566,365
P30939,Seq,P30939,366
P20905,Seq,P20905,564
O46635,Seq,O46635,470
P28285,Seq,P28285,834
P28223,Seq,P28223,471
P35363,Seq,P35363,471
P14842,Seq,P14842,471
P28286,Seq,P28286,617
P41595,Seq,P41595,481
Q02152,Seq,Q02152,479
P30994,Seq,P30994,479
Q8UUG8,Seq,Q8UUG8,471
P28335,Seq,P28335,458
P34968,Seq,P34968,459
P08909,Seq,P08909,460
O70212,Seq,O70212,490
P46098,Seq,P46098,478
P35563,Seq,P35563,483
O95264,Seq,O95264,441
Q9JHJ5,Seq,Q9JHJ5,437
Q9JJ16,Seq,Q9JJ16,437
Q8WXA8,Seq,Q8WXA8,447
Q70Z44,Seq,Q70Z44,454
A5X5Y0,Seq,A5X5Y0,456
Q13639,Seq,Q13639,388
Q62758,Seq,Q62758,406
P47898,Seq,P47898,357
P30966,Seq,P30966,357
P35364,Seq,P35364,357
P31387,Seq,P31387,370
P35365,Seq,P35365,370
P50406,Seq,P50406,440
Q9R1C8,Seq,Q9R1C8,440
P31388,Seq,P31388,436
P34969,Seq,P34969,479
P32305,Seq,P32305,448
Q8W1W9,Seq,Q8W1W9,462
Q6TXD2,Seq,Q6TXD2,417
Q9LJB4,Seq,Q9LJB4,449
Q9ZUJ5,Seq,Q9ZUJ5,360
Q6J163,Seq,Q6J163,410
Q9BXI3,Seq,Q9BXI3,368
A3KFX0,Seq,A3KFX0,365
Q96P26,Seq,Q96P26,610
Q91YE9,Seq,Q91YE9,573
Q9H0P0,Seq,Q9H0P0,336
Q9D020,Seq,Q9D020,331
Q9W197,Seq,Q9W197,319
Q969T7,Seq,Q969T7,300
O46411,Seq,O46411,560
Q54XC1,Seq,Q54XC1,592
P49902,Seq,P49902,561
P21589,Seq,P21589,574
Q61503,Seq,Q61503,576
P21588,Seq,P21588,576
P27091,Seq,P27091,455
P14790,Seq,P14790,60
P56379,Seq,P56379,58
D3Z9R8,Seq,D3Z9R8,60
Q76FP5,Seq,Q76FP5,479
Q9FWA3,Seq,Q9FWA3,486
P86491,Seq,P86491,385
Q88FY2,Seq,Q88FY2,382
Q6WUC1,Seq,Q6WUC1,346
P40433,Seq,P40433,827
Q12471,Seq,Q12471,397
Q9SH69,Seq,Q9SH69,487
Q9LI00,Seq,Q9LI00,480
P38720,Seq,P38720,489
Q9FFR3,Seq,Q9FFR3,487
Q2R480,Seq,Q2R480,508
Q94KU2,Seq,Q94KU2,537
P53319,Seq,P53319,492
Q8TA03,Seq,Q8TA03,493
P41572,Seq,P41572,481
P00350,Seq,P00350,468
P52209,Seq,P52209,483
Q9DCD0,Seq,Q9DCD0,483
P85968,Seq,P85968,483
P78812,Seq,P78812,492
P00349,Seq,P00349,483
P31072,Seq,P31072,479
Q9LMX8,Seq,Q9LMX8,268
Q8LG70,Seq,Q8LG70,259
Q8LEV7,Seq,Q8LEV7,252
Q9FIN1,Seq,Q9FIN1,261
Q84WW2,Seq,Q84WW2,325
O18229,Seq,O18229,269
P52697,Seq,P52697,331
O95336,Seq,O95336,258
P9WQP5,Seq,P9WQP5,247
P85971,Seq,P85971,257
O74455,Seq,O74455,257
A0A096SRM5,Seq,A0A096SRM5,475
P05408,Seq,P05408,212
P12961,Seq,P12961,212
P01165,Seq,P01165,207
Q4WYG3,Seq,Q4WYG3,472
P13368,Seq,P13368,2554
Q6WUC2,Seq,Q6WUC2,355
P13917,Seq,P13917,427
P16375,Seq,P16375,543
P16376,Seq,P16376,746
B3RFJ6,Seq,B3RFJ6,553
B3TKC8,Seq,B3TKC8,483
P36639,Seq,P36639,197
P53368,Seq,P53368,156
P53369,Seq,P53369,156
Q8IZ83,Seq,Q8IZ83,802
Q19124,Seq,Q19124,578
Q676U5,Seq,Q676U5,607
Q8C0J2,Seq,Q8C0J2,607
Q09406,Seq,Q09406,534
Q8NAA4,Seq,Q8NAA4,619
Q6KAU8,Seq,Q6KAU8,623
P02763,Seq,P02763,201
P19652,Seq,P19652,201
P02764,Seq,P02764,205
P07758,Seq,P07758,413
P22599,Seq,P22599,413
Q00896,Seq,Q00896,412
Q00897,Seq,Q00897,413
Q00898,Seq,Q00898,413
P20848,Seq,P20848,420
P01009,Seq,P01009,418
P17475,Seq,P17475,411
P04217,Seq,P04217,495
Q9NQ94,Seq,Q9NQ94,594
Q5YD48,Seq,Q5YD48,595
Q923K9,Seq,Q923K9,594
P14046,Seq,P14046,1477
Q63041,Seq,Q63041,1500
Q5TYW2,Seq,Q5TYW2,823
P20995,Seq,P20995,426
Q1W695,Seq,Q1W695,305
O46197,Seq,O46197,234
P08697,Seq,P08697,491
Q61247,Seq,Q61247,491
P83168,Seq,P83168,11
P02750,Seq,P02750,347
P01023,Seq,P01023,1474
Q6GQT1,Seq,Q6GQT1,1474
P06238,Seq,P06238,1472
A8K2U0,Seq,A8K2U0,1454
O46203,Seq,O46203,329
O46227,Seq,O46227,47
Q9V3R1,Seq,Q9V3R1,912
P68619,Seq,P68619,221
P18487,Seq,P18487,504
Q3V1N9,Seq,Q3V1N9,370
A0A4Z3,Seq,A0A4Z3,339
Q9NPC4,Seq,Q9NPC4,353
Q67BJ4,Seq,Q67BJ4,359
Q9UNA3,Seq,Q9UNA3,340
Q10651,Seq,Q10651,686
P14599,Seq,P14599,887
P05067,Seq,P05067,770
P12023,Seq,P12023,770
P08592,Seq,P08592,770
O46199,Seq,O46199,120
O46202,Seq,O46202,115
O46200,Seq,O46200,81
O46341,Seq,O46341,409
P05623,Seq,P05623,55
Q9VVW1,Seq,Q9VVW1,386
P9WQP3,Seq,P9WQP3,338
P9WQP1,Seq,P9WQP1,325
P9WQN9,Seq,P9WQN9,340
P16548,Seq,P16548,52
O46201,Seq,O46201,25
P30542,Seq,P30542,326
Q60612,Seq,Q60612,326
P25099,Seq,P25099,326
P29274,Seq,P29274,412
Q60613,Seq,Q60613,410
P30543,Seq,P30543,410
P29275,Seq,P29275,332
Q60614,Seq,Q60614,332
P29276,Seq,P29276,332
Q8JG70,Seq,Q8JG70,408
Q8JG69,Seq,Q8JG69,415
P0DMS8,Seq,P0DMS8,318
Q61618,Seq,Q61618,319
P28647,Seq,P28647,320
E3W9M2,Seq,E3W9M2,502
E3W9M3,Seq,E3W9M3,505
Q9NS82,Seq,Q9NS82,523
P63115,Seq,P63115,530
P63116,Seq,P63116,530
P21133,Seq,P21133,357
P22760,Seq,P22760,399
Q99PG0,Seq,Q99PG0,398
Q7M370,Seq,Q7M370,398
Q5SF95,Seq,Q5SF95,324
Q5SF94,Seq,Q5SF94,364
Q5SF96,Seq,Q5SF96,419
Q5SF93,Seq,Q5SF93,320
Q8GWR1,Seq,Q8GWR1,447
Q9NRG9,Seq,Q9NRG9,546
P58742,Seq,P58742,546
P46854,Seq,P46854,162
Q15758,Seq,Q15758,541
P51912,Seq,P51912,553
P9WQG9,Seq,P9WQG9,181
Q54441,Seq,Q54441,146
Q43899,Seq,Q43899,146
Q44245,Seq,Q44245,146
Q44057,Seq,Q44057,145
P10051,Seq,P10051,185
P50858,Seq,P50858,152
P19650,Seq,P19650,201
Q15BH7,Seq,Q15BH7,152
Q9R381,Seq,Q9R381,145
P20092,Seq,P20092,201
Q9RBW7,Seq,Q9RBW7,153
Q86V21,Seq,Q86V21,672
Q9JMI1,Seq,Q9JMI1,672
P01011,Seq,P01011,423
Q8N5Z0,Seq,Q8N5Z0,425
Q9WVM8,Seq,Q9WVM8,425
Q64602,Seq,Q64602,425
Q9C8D4,Seq,Q9C8D4,572
Q8H151,Seq,Q8H151,544
Q8W471,Seq,Q8W471,727
Q9LK39,Seq,Q9LK39,722
F4HUK6,Seq,F4HUK6,556
Q9SS01,Seq,Q9SS01,580
Q9FFE6,Seq,Q9FFE6,552
P46482,Seq,P46482,310
P46481,Seq,P46481,655
Q9ZUU2,Seq,Q9ZUU2,248
Q11T61,Seq,Q11T61,368
P67662,Seq,P67662,309
Q6PD74,Seq,Q6PD74,315
O49434,Seq,O49434,525
Q655X8,Seq,Q655X8,491
F1MH24,Seq,F1MH24,957
Q2M2I8,Seq,Q2M2I8,961
F1SPM8,Seq,F1SPM8,968
P0C1X8,Seq,P0C1X8,962
Q9Y478,Seq,Q9Y478,270
Q9R078,Seq,Q9R078,270
P80386,Seq,P80386,270
O43741,Seq,O43741,272
Q6PAM0,Seq,Q6PAM0,271
Q9QZH4,Seq,Q9QZH4,271
P78789,Seq,P78789,298
P54619,Seq,P54619,331
O54950,Seq,O54950,330
P80385,Seq,P80385,330
Q9UGJ0,Seq,Q9UGJ0,569
Q91WG5,Seq,Q91WG5,566
Q9UGI9,Seq,Q9UGI9,489
Q8BGM7,Seq,Q8BGM7,489
Q10343,Seq,Q10343,334
P12904,Seq,P12904,322
Q8R0P4,Seq,Q8R0P4,122
Q988D4,Seq,Q988D4,278
Q3SZK1,Seq,Q3SZK1,434
Q13685,Seq,Q13685,434
A0P8X0,Seq,A0P8X0,1290
K9NBS6,Seq,K9NBS6,477
Q42400,Seq,Q42400,485
Q92367,Seq,Q92367,594
P37898,Seq,P37898,856
Q38967,Seq,Q38967,493
Q39134,Seq,Q39134,476
Q9FN04,Seq,Q9FN04,466
Q8GUM3,Seq,Q8GUM3,480
P92934,Seq,P92934,481
P45894,Seq,P45894,589
Q13131,Seq,Q13131,559
Q5EG47,Seq,Q5EG47,559
P54645,Seq,P54645,559
Q95ZQ4,Seq,Q95ZQ4,626
P54646,Seq,P54646,552
Q8BRK8,Seq,Q8BRK8,552
Q09137,Seq,Q09137,552
O82567,Seq,O82567,389
P22702,Seq,P22702,24
P08521,Seq,P08521,25
Q6LA53,Seq,Q6LA53,346
P32357,Seq,P32357,355
Q54I71,Seq,Q54I71,757
P46116,Seq,P46116,281
Q91ZF7,Seq,Q91ZF7,165
Q84LM4,Seq,Q84LM4,764
Q9BTE6,Seq,Q9BTE6,412
Q3THG9,Seq,Q3THG9,412
Q9UDR5,Seq,Q9UDR5,926
Q99K67,Seq,Q99K67,926
P31119,Seq,P31119,719
P46643,Seq,P46643,430
Q9P5N2,Seq,Q9P5N2,579
P46645,Seq,P46645,405
P46644,Seq,P46644,449
P00504,Seq,P00504,412
P17174,Seq,P17174,413
P05201,Seq,P05201,413
P13221,Seq,P13221,413
O42652,Seq,O42652,409
P23542,Seq,P23542,418
Q9VM95,Seq,Q9VM95,488
Q9NY61,Seq,Q9NY61,560
Q9JKX4,Seq,Q9JKX4,526
Q9QYW0,Seq,Q9QYW0,523
P00508,Seq,P00508,423
P00505,Seq,P00505,430
P05202,Seq,P05202,430
P12345,Seq,P12345,430
P00507,Seq,P00507,430
Q01802,Seq,Q01802,451
Q9LP11,Seq,Q9LP11,475
F4IQG2,Seq,F4IQG2,494
Q8GW96,Seq,Q8GW96,495
Q9LH84,Seq,Q9LH84,530
Q9LJJ7,Seq,Q9LJJ7,500
F4J0C0,Seq,F4J0C0,477
Q9LJJ5,Seq,Q9LJJ5,474
Q147F9,Seq,Q147F9,451
Q9FN75,Seq,Q9FN75,505
F4KFX5,Seq,F4KFX5,470
O14192,Seq,O14192,474
O94570,Seq,O94570,481
Q9Y7S6,Seq,Q9Y7S6,470
P00509,Seq,P00509,396
P9WQ91,Seq,P9WQ91,429
Q9SGY1,Seq,Q9SGY1,1227
Q9LYS2,Seq,Q9LYS2,1453
Q8H1R4,Seq,Q8H1R4,271
Q9FWX7,Seq,Q9FWX7,1278
Q8RXN0,Seq,Q8RXN0,703
Q8LEF6,Seq,Q8LEF6,278
Q9C8K2,Seq,Q9C8K2,687
Q944H2,Seq,Q944H2,391
Q10RX7,Seq,Q10RX7,1505
Q9C8J8,Seq,Q9C8J8,678
Q08641,Seq,Q08641,628
Q9LZJ5,Seq,Q9LZJ5,1539
Q9C6W5,Seq,Q9C6W5,648
Q9LHD1,Seq,Q9LHD1,1240
Q8RWI9,Seq,Q8RWI9,691
Q9M2V7,Seq,Q9M2V7,736
Q96GS6,Seq,Q96GS6,310
Q9LSJ6,Seq,Q9LSJ6,1240
Q5VST6,Seq,Q5VST6,288
Q9C9W0,Seq,Q9C9W0,263
Q9LJX0,Seq,Q9LJX0,1252
Q9M3D6,Seq,Q9M3D6,725
Q84M24,Seq,Q84M24,1882
Q9ZR72,Seq,Q9ZR72,1286
Q9C8G9,Seq,Q9C8G9,1622
Q94FB9,Seq,Q94FB9,1337
Q9FJH6,Seq,Q9FJH6,595
O80946,Seq,O80946,740
Q7Z5R6,Seq,Q7Z5R6,666
Q8R5A3,Seq,Q8R5A3,670
Q8RWG1,Seq,Q8RWG1,682
Q9MA15,Seq,Q9MA15,711
Q9M3B9,Seq,Q9M3B9,1408
Q9LFG8,Seq,Q9LFG8,739
Q9XF19,Seq,Q9XF19,282
Q93YS4,Seq,Q93YS4,751
Q9FUT3,Seq,Q9FUT3,678
Q9M0G9,Seq,Q9M0G9,680
Q9MAG3,Seq,Q9MAG3,1109
Q9LVM1,Seq,Q9LVM1,728
Q84TH5,Seq,Q84TH5,662
Q8RY46,Seq,Q8RY46,700
Q9LK50,Seq,Q9LK50,685
Q0WML0,Seq,Q0WML0,644
P81925,Seq,P81925,19
Q8LPQ6,Seq,Q8LPQ6,714
Q9LZB8,Seq,Q9LZB8,634
Q94A18,Seq,Q94A18,1416
Q8LPK2,Seq,Q8LPK2,1273
Q42093,Seq,Q42093,1623
Q6NLC1,Seq,Q6NLC1,706
Q9ZUT0,Seq,Q9ZUT0,755
Q7PC88,Seq,Q7PC88,1426
O81016,Seq,O81016,1420
Q9ZUT8,Seq,Q9ZUT8,1413
Q7PC87,Seq,Q7PC87,1453
Q7PC86,Seq,Q7PC86,1442
Q9XIE2,Seq,Q9XIE2,1469
Q9LFH0,Seq,Q9LFH0,1450
Q7PC84,Seq,Q7PC84,1454
Q9LK64,Seq,Q9LK64,1514
Q8H0V6,Seq,Q8H0V6,715
Q9ZUU9,Seq,Q9ZUU9,730
Q9M9E1,Seq,Q9M9E1,1423
O80725,Seq,O80725,1286
Q7DM58,Seq,Q7DM58,1516
A7KVC2,Seq,A7KVC2,1510
Q7GB25,Seq,Q7GB25,1514
Q9LV93,Seq,Q9LV93,692
Q8H8V7,Seq,Q8H8V7,787
Q8LPT1,Seq,Q8LPT1,1407
Q8VZZ4,Seq,Q8VZZ4,1466
Q9FNB5,Seq,Q9FNB5,727
Q9CAF5,Seq,Q9CAF5,338
Q9STT5,Seq,Q9STT5,935
Q9FHF1,Seq,Q9FHF1,1248
Q9LK62,Seq,Q9LK62,1493
Q9ZU35,Seq,Q9ZU35,725
Q9LQK7,Seq,Q9LQK7,475
Q9ZS97,Seq,Q9ZS97,557
Q9FLT5,Seq,Q9FLT5,950
Q9C826,Seq,Q9C826,285
Q8LFP9,Seq,Q8LFP9,220
E9RD40,Seq,E9RD40,797
P20945,Seq,P20945,796
O81077,Seq,O81077,482
Q9FH76,Seq,Q9FH76,463
Q9LJK2,Seq,Q9LJK2,468
Q9LRH7,Seq,Q9LRH7,764
B7U179,Seq,B7U179,737
Q9SBB2,Seq,Q9SBB2,623
O65934,Seq,O65934,865
Q92337,Seq,Q92337,1427
Q10185,Seq,Q10185,1478
P31941,Seq,P31941,199
Q9UH17,Seq,Q9UH17,382
Q9NRW3,Seq,Q9NRW3,190
Q96AK3,Seq,Q96AK3,386
Q8IUX4,Seq,Q8IUX4,373
Q7YR25,Seq,Q7YR25,377
Q9HC16,Seq,Q9HC16,384
Q7YR23,Seq,Q7YR23,370
Q7YR24,Seq,Q7YR24,384
Q6NTF7,Seq,Q6NTF7,200
Q19Q52,Seq,Q19Q52,210
Q9P5N0,Seq,Q9P5N0,1465
Q9P7V2,Seq,Q9P7V2,1469
Q8K440,Seq,Q8K440,1620
O95477,Seq,O95477,2261
P41233,Seq,P41233,2261
Q9BZC7,Seq,Q9BZC7,2435
Q9ESR9,Seq,Q9ESR9,2434
Q54BT5,Seq,Q54BT5,1702
Q99758,Seq,Q99758,1704
Q8R420,Seq,Q8R420,1704
Q555Z5,Seq,Q555Z5,1615
P78363,Seq,P78363,2273
O35600,Seq,O35600,2310
Q8T6J2,Seq,Q8T6J2,1662
Q8WWZ7,Seq,Q8WWZ7,1642
Q8K448,Seq,Q8K448,1642
Q8CF82,Seq,Q8CF82,1642
Q8T6J1,Seq,Q8T6J1,1631
Q8T6J0,Seq,Q8T6J0,839
Q8IZY2,Seq,Q8IZY2,2146
Q91V24,Seq,Q91V24,2159
Q7TNJ2,Seq,Q7TNJ2,2170
O94911,Seq,O94911,1581
Q54DT1,Seq,Q54DT1,845
Q8K449,Seq,Q8K449,1623
Q54R52,Seq,Q54R52,887
Q86UK0,Seq,Q86UK0,2595
E9PX95,Seq,E9PX95,1733
Q54BU4,Seq,Q54BU4,909
Q8T9W4,Seq,Q8T9W4,1432
Q54W24,Seq,Q54W24,767
Q8T9W2,Seq,Q8T9W2,697
Q2M3G0,Seq,Q2M3G0,1257
B5X0E4,Seq,B5X0E4,1255
Q9NP58,Seq,Q9NP58,842
Q9DC29,Seq,Q9DC29,842
O70595,Seq,O70595,836
Q55DA7,Seq,Q55DA7,824
O75027,Seq,O75027,752
Q61102,Seq,Q61102,752
Q9NUT2,Seq,Q9NUT2,735
Q9CXJ4,Seq,Q9CXJ4,717
Q9NP78,Seq,Q9NP78,766
Q9QYJ4,Seq,Q9QYJ4,762
Q9NRK6,Seq,Q9NRK6,738
Q9JI39,Seq,Q9JI39,715
O95342,Seq,O95342,1321
Q9QY30,Seq,Q9QY30,1321
